customer_id,behavioural_segment,behavioural_persona,competitor_landscape_segment,competitor_landscape_persona,product_segment,product_persona,channel_segment,channel_persona
95822412,1,Occasional Splurger,0,Wanderer,2,Occasional Discoverer,3,Traditional Shopper
24942603,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
13356886,0,Value Seeking Regular,0,Wanderer,0,Occasional Omnivore,2,Omnichannel Enthusiast
46913810,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
42868828,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
39958838,2,Loyal Convenience Shopper,2,Loyal Spender,2,Occasional Discoverer,1,Click and Brick Brigader
28728463,1,Occasional Splurger,1,Occasional Explorer,0,Occasional Omnivore,0,Digital Native
23756669,1,Occasional Splurger,1,Occasional Explorer,1,Occasional Food Specialist,1,Click and Brick Brigader
83197857,3,Occasional Bargain Hunter,1,Occasional Explorer,0,Occasional Omnivore,0,Digital Native
21668732,1,Occasional Splurger,1,Occasional Explorer,2,Occasional Discoverer,0,Digital Native
89254563,1,Occasional Splurger,1,Occasional Explorer,2,Occasional Discoverer,0,Digital Native
66629388,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,2,Omnichannel Enthusiast
14265799,3,Occasional Bargain Hunter,0,Wanderer,2,Occasional Discoverer,3,Traditional Shopper
13999315,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
22575562,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,1,Click and Brick Brigader
39345092,2,Loyal Convenience Shopper,2,Loyal Spender,1,Occasional Food Specialist,1,Click and Brick Brigader
41227216,0,Value Seeking Regular,0,Wanderer,2,Occasional Discoverer,1,Click and Brick Brigader
77827638,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
90801586,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
13561597,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
85329037,0,Value Seeking Regular,0,Wanderer,0,Occasional Omnivore,1,Click and Brick Brigader
36687537,3,Occasional Bargain Hunter,0,Wanderer,0,Occasional Omnivore,0,Digital Native
97226012,3,Occasional Bargain Hunter,0,Wanderer,0,Occasional Omnivore,0,Digital Native
83140807,0,Value Seeking Regular,0,Wanderer,2,Occasional Discoverer,0,Digital Native
66306997,1,Occasional Splurger,1,Occasional Explorer,1,Occasional Food Specialist,1,Click and Brick Brigader
39587039,0,Value Seeking Regular,1,Occasional Explorer,2,Occasional Discoverer,1,Click and Brick Brigader
70291817,3,Occasional Bargain Hunter,0,Wanderer,2,Occasional Discoverer,0,Digital Native
89089901,1,Occasional Splurger,1,Occasional Explorer,2,Occasional Discoverer,1,Click and Brick Brigader
47338124,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
10872248,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
31429110,2,Loyal Convenience Shopper,2,Loyal Spender,3,Omnivore,3,Traditional Shopper
66722344,1,Occasional Splurger,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
55667651,0,Value Seeking Regular,0,Wanderer,2,Occasional Discoverer,0,Digital Native
47295260,1,Occasional Splurger,1,Occasional Explorer,0,Occasional Omnivore,0,Digital Native
30868105,0,Value Seeking Regular,0,Wanderer,2,Occasional Discoverer,1,Click and Brick Brigader
38898923,1,Occasional Splurger,0,Wanderer,0,Occasional Omnivore,1,Click and Brick Brigader
55176955,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
23718431,3,Occasional Bargain Hunter,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
22448136,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,1,Click and Brick Brigader
60992979,0,Value Seeking Regular,1,Occasional Explorer,0,Occasional Omnivore,3,Traditional Shopper
