Customer ID,Recency,Frequency,MonetaryValue,Cluster,Segment
2,237,3,573.3333333333334,3,D
5,492,1,130.0,5,F
7,123,1,630.0,4,E
8,95,3,384.6666666666667,3,D
11,838,2,815.0,1,B
12,258,1,850.0,4,E
13,117,1,510.0,2,C
14,456,1,400.0,5,F
16,284,2,590.0,3,D
17,847,1,500.0,5,F
18,690,1,630.0,1,B
19,552,1,450.0,5,F
20,793,2,495.0,0,A
22,495,1,770.0,4,E
23,1000,1,590.0,1,B
24,745,1,710.0,1,B
27,117,1,350.0,2,C
28,487,1,400.0,5,F
30,567,1,766.0,1,B
31,160,3,473.3333333333333,3,D
33,748,1,240.0,5,F
34,843,1,130.0,5,F
35,371,2,377.0,0,A
38,634,1,690.0,1,B
40,301,1,430.0,2,C
41,405,1,550.0,4,E
42,625,1,300.0,5,F
45,91,2,875.0,3,D
48,676,1,580.0,5,F
49,417,1,100.0,2,C
53,755,2,700.0,0,A
54,405,2,735.0,3,D
55,468,1,250.0,5,F
57,340,2,485.0,0,A
59,440,1,130.0,2,C
62,634,2,480.0,0,A
63,393,1,120.0,2,C
65,483,1,720.0,4,E
66,459,3,880.0,3,D
67,193,1,1088.0,4,E
70,205,1,630.0,4,E
71,1031,1,690.0,1,B
72,225,1,300.0,2,C
75,167,2,700.0,3,D
76,485,1,920.0,4,E
77,212,1,330.0,2,C
78,564,1,310.0,5,F
79,721,1,300.0,5,F
80,193,1,1230.0,4,E
82,315,1,990.0,4,E
85,795,1,500.0,5,F
87,929,1,740.0,1,B
88,515,1,890.0,4,E
91,247,1,1070.0,4,E
92,455,1,388.0,5,F
93,868,1,310.0,5,F
94,154,3,766.6666666666666,3,D
95,525,2,81.0,0,A
96,417,1,1150.0,4,E
98,260,2,375.0,0,A
99,275,1,580.0,4,E
100,463,1,510.0,5,F
101,507,2,700.0,0,A
104,1094,1,600.0,1,B
105,938,1,1000.0,1,B
106,350,1,330.0,2,C
109,1020,2,705.0,1,B
110,318,1,700.0,4,E
112,253,2,80.0,0,A
113,277,1,130.0,2,C
114,605,1,455.0,5,F
119,980,1,1030.0,1,B
120,105,2,635.0,3,D
121,123,1,200.0,2,C
123,220,1,690.0,4,E
124,124,2,455.0,3,D
125,253,1,414.0,2,C
126,197,3,446.6666666666667,3,D
127,344,1,770.0,4,E
128,551,1,200.0,5,F
129,137,2,1000.0,3,D
130,280,1,200.0,2,C
132,1046,1,650.0,1,B
135,571,1,300.0,5,F
138,255,1,560.0,2,C
139,226,2,530.0,3,D
140,548,2,850.0,3,D
141,571,3,533.3333333333334,0,A
142,213,2,948.0,3,D
148,876,1,400.0,5,F
149,608,2,615.0,0,A
153,863,1,200.0,5,F
154,892,1,860.0,1,B
155,161,1,200.0,2,C
157,1064,1,800.0,1,B
160,882,1,200.0,5,F
161,348,2,545.0,0,A
163,746,1,640.0,1,B
166,1053,1,675.0,1,B
168,699,3,300.0,0,A
169,396,1,600.0,4,E
170,234,1,360.0,2,C
171,347,1,770.0,4,E
172,129,1,1270.0,4,E
174,143,4,537.5,3,D
175,718,1,880.0,1,B
179,290,1,100.0,2,C
180,759,1,810.0,1,B
181,222,2,346.0,0,A
182,1068,1,950.0,1,B
185,431,2,335.0,0,A
187,374,2,665.0,3,D
188,583,1,580.0,5,F
191,97,2,335.0,0,A
193,858,1,470.0,5,F
194,709,1,532.0,5,F
198,770,1,430.0,5,F
199,594,1,340.0,5,F
200,692,1,464.0,5,F
203,490,1,1130.0,4,E
205,283,3,873.3333333333334,3,D
206,164,2,380.0,0,A
207,174,2,840.0,3,D
209,901,1,500.0,5,F
210,251,1,630.0,4,E
212,127,2,540.0,3,D
213,438,2,370.0,0,A
214,250,2,764.0,3,D
215,128,2,640.0,3,D
217,368,1,740.0,4,E
220,308,2,675.0,3,D
221,555,3,323.3333333333333,0,A
222,509,2,905.0,3,D
224,379,2,441.0,0,A
225,588,1,568.0,5,F
226,916,1,780.0,1,B
227,278,1,50.0,2,C
229,854,1,130.0,5,F
231,687,1,380.0,5,F
233,579,1,310.0,5,F
238,337,1,830.0,4,E
239,605,1,160.0,5,F
240,754,1,300.0,5,F
241,639,1,908.0,1,B
242,139,2,600.0,3,D
243,92,1,1030.0,4,E
245,443,1,1294.0,4,E
249,364,1,950.0,4,E
250,280,1,60.0,2,C
251,853,2,315.0,0,A
256,451,2,305.0,0,A
259,303,2,690.0,3,D
260,824,1,130.0,5,F
264,1029,1,300.0,5,F
265,196,1,700.0,4,E
267,105,1,400.0,2,C
268,165,3,527.3333333333334,3,D
270,268,1,610.0,4,E
271,484,2,810.0,3,D
272,112,2,755.0,3,D
273,116,1,430.0,2,C
274,572,1,480.0,5,F
279,112,2,302.5,0,A
282,103,1,180.0,2,C
283,260,1,660.0,4,E
285,104,5,554.0,3,D
287,146,2,620.0,3,D
288,422,2,760.0,3,D
289,484,3,597.3333333333334,0,A
293,595,1,850.0,1,B
294,102,1,910.0,4,E
295,168,1,790.0,4,E
299,181,1,200.0,2,C
300,105,1,630.0,4,E
302,1029,1,200.0,5,F
307,835,1,632.0,1,B
308,163,2,615.0,3,D
312,259,1,650.0,4,E
313,962,1,735.0,1,B
314,898,1,560.0,5,F
315,718,1,600.0,5,F
316,388,1,500.0,2,C
317,394,1,620.0,4,E
321,108,2,500.0,3,D
324,585,2,620.0,0,A
325,99,2,800.0,3,D
326,146,1,850.0,4,E
328,435,2,1114.0,3,D
329,378,1,728.0,4,E
330,201,2,490.0,0,A
331,59,1,50.0,2,C
332,856,1,500.0,5,F
333,696,1,800.0,1,B
334,285,1,360.0,2,C
335,375,1,540.0,4,E
336,144,1,580.0,2,C
337,500,1,100.0,5,F
338,630,1,430.0,5,F
341,491,1,800.0,4,E
342,284,2,540.0,0,A
344,274,2,745.0,3,D
345,426,2,475.0,0,A
347,903,1,780.0,1,B
348,350,1,580.0,4,E
349,331,1,800.0,4,E
350,373,1,600.0,4,E
351,104,3,440.0,3,D
352,376,2,285.0,0,A
354,395,2,360.0,0,A
357,696,1,420.0,5,F
361,124,2,90.0,0,A
362,463,1,1080.0,4,E
364,135,2,317.5,0,A
365,151,1,1120.0,4,E
368,453,1,1190.0,4,E
373,635,1,628.0,5,F
375,689,1,475.0,5,F
376,814,1,200.0,5,F
379,347,1,240.0,2,C
381,708,2,590.0,0,A
382,376,2,355.0,0,A
383,1006,1,730.0,1,B
384,77,3,631.6666666666666,3,D
385,781,1,430.0,5,F
386,336,1,498.0,2,C
387,123,2,265.0,0,A
390,162,2,960.0,3,D
393,446,1,200.0,2,C
396,526,2,890.0,3,D
397,376,1,550.0,4,E
398,121,2,425.0,0,A
405,285,1,230.0,2,C
407,222,2,735.0,3,D
408,406,2,340.0,0,A
410,162,1,730.0,4,E
411,220,1,900.0,4,E
413,685,1,670.0,1,B
415,228,1,620.0,4,E
416,123,3,466.6666666666667,3,D
418,116,2,630.0,3,D
419,221,1,330.0,2,C
420,249,1,600.0,4,E
421,433,1,820.0,4,E
422,862,1,1280.0,1,B
423,296,1,420.0,2,C
425,427,1,698.0,4,E
427,378,2,715.0,3,D
430,399,4,391.25,0,A
433,698,2,846.0,0,A
434,281,3,515.6666666666666,3,D
435,318,3,626.6666666666666,3,D
437,314,3,430.0,0,A
438,584,1,1090.0,1,B
439,1015,1,840.0,1,B
441,977,1,1120.0,1,B
446,1082,1,300.0,5,F
447,454,1,1106.0,4,E
448,128,1,110.0,2,C
449,663,1,194.0,5,F
450,106,1,1080.0,4,E
452,847,1,830.0,1,B
453,281,3,678.3333333333334,3,D
454,165,1,455.0,2,C
455,130,1,825.0,4,E
460,222,3,611.3333333333334,3,D
462,746,1,500.0,5,F
464,847,1,580.0,5,F
465,321,1,830.0,4,E
467,376,1,1030.0,4,E
468,804,2,795.0,1,B
473,93,3,993.0,3,D
474,277,3,503.6666666666667,3,D
475,896,2,95.0,0,A
477,408,1,200.0,2,C
478,192,1,630.0,4,E
481,764,1,50.0,5,F
482,105,1,1330.0,4,E
483,412,2,615.0,0,A
487,347,1,796.0,4,E
488,948,2,418.0,0,A
492,526,1,400.0,5,F
494,758,1,1050.0,1,B
495,153,2,670.0,3,D
496,185,1,208.0,2,C
497,932,1,600.0,1,B
500,863,2,420.0,0,A
501,916,1,50.0,5,F
502,104,2,550.0,3,D
503,509,2,425.0,0,A
504,777,1,550.0,5,F
505,717,1,430.0,5,F
509,775,1,600.0,5,F
511,275,2,775.0,3,D
513,771,1,894.0,1,B
514,723,1,950.0,1,B
517,366,1,417.0,2,C
518,146,2,695.0,3,D
520,620,1,20.0,5,F
521,1056,1,500.0,5,F
523,216,1,1260.0,4,E
524,611,1,670.0,1,B
525,109,1,590.0,2,C
527,566,1,130.0,5,F
528,285,1,500.0,2,C
529,409,1,325.0,2,C
531,371,2,1182.5,3,D
532,492,4,624.0,3,D
534,200,2,712.5,3,D
535,634,2,550.0,0,A
537,98,1,1100.0,4,E
538,834,1,820.0,1,B
539,191,3,783.3333333333334,3,D
542,902,1,280.0,5,F
543,73,1,880.0,4,E
546,234,1,450.0,2,C
547,53,2,641.0,3,D
548,572,1,700.0,1,B
549,577,1,900.0,1,B
550,760,1,60.0,5,F
551,182,3,726.6666666666666,3,D
552,410,2,495.0,0,A
553,251,2,345.0,0,A
554,188,2,585.0,3,D
555,211,1,480.0,2,C
556,175,2,770.0,3,D
557,732,1,130.0,5,F
558,696,3,503.3333333333333,0,A
560,187,1,960.0,4,E
561,996,1,1130.0,1,B
565,550,1,800.0,4,E
566,172,2,258.0,0,A
568,140,1,830.0,4,E
569,105,2,505.0,3,D
572,570,1,890.0,1,B
576,19,3,663.3333333333334,3,D
577,686,1,920.0,1,B
578,422,3,870.0,3,D
579,898,2,890.0,1,B
580,637,2,165.0,0,A
581,167,2,652.5,3,D
583,238,1,635.0,4,E
584,141,2,430.0,0,A
585,112,1,400.0,2,C
589,491,1,200.0,5,F
590,205,1,50.0,2,C
591,688,1,1200.0,1,B
594,590,1,620.0,5,F
595,164,1,230.0,2,C
596,95,3,466.6666666666667,3,D
598,314,2,415.0,0,A
599,906,1,580.0,5,F
603,579,1,1000.0,1,B
607,205,3,838.3333333333334,3,D
610,226,1,110.0,2,C
612,317,1,50.0,2,C
613,289,1,240.0,2,C
614,817,1,1070.0,1,B
615,488,2,376.0,0,A
616,200,1,1030.0,4,E
619,777,1,560.0,5,F
622,402,1,730.0,4,E
623,430,1,586.0,4,E
624,251,1,230.0,2,C
625,922,1,320.0,5,F
629,254,2,235.0,0,A
630,497,1,410.0,5,F
632,289,1,440.0,2,C
633,279,1,755.0,4,E
635,202,2,500.0,0,A
636,786,2,240.0,0,A
637,383,2,395.0,0,A
639,542,2,832.5,3,D
643,921,1,110.0,5,F
644,690,2,240.0,0,A
646,492,1,660.0,4,E
648,930,1,580.0,5,F
649,934,1,1305.0,1,B
652,542,1,255.0,5,F
653,959,1,900.0,1,B
654,687,1,646.0,1,B
655,613,1,630.0,5,F
656,253,1,630.0,4,E
662,842,1,150.0,5,F
663,484,1,400.0,5,F
664,934,1,630.0,1,B
667,233,1,1100.0,4,E
670,351,1,260.0,2,C
671,494,1,730.0,4,E
673,511,1,690.0,4,E
674,692,2,525.0,0,A
676,191,2,507.5,3,D
677,469,1,850.0,4,E
678,658,1,120.0,5,F
679,207,3,438.3333333333333,3,D
680,229,2,855.0,3,D
682,386,2,415.0,0,A
683,670,1,840.0,1,B
685,263,1,420.0,2,C
686,745,1,650.0,1,B
687,629,2,520.0,0,A
689,1006,1,420.0,5,F
690,37,3,183.33333333333334,0,A
691,183,1,830.0,4,E
693,456,3,516.0,0,A
694,485,1,510.0,5,F
695,982,1,840.0,1,B
696,569,1,750.0,1,B
697,202,1,50.0,2,C
698,907,2,960.0,1,B
699,638,1,400.0,5,F
700,370,3,988.6666666666666,3,D
701,0,2,667.5,3,D
702,1037,1,710.0,1,B
704,367,2,1305.0,3,D
706,894,1,1240.0,1,B
710,835,1,800.0,1,B
711,634,1,760.0,1,B
712,901,2,200.0,0,A
714,231,3,500.0,3,D
715,519,1,1240.0,4,E
717,428,1,620.0,4,E
718,138,1,600.0,2,C
719,493,2,875.0,3,D
721,710,1,1110.0,1,B
722,93,1,645.0,4,E
723,306,1,820.0,4,E
724,138,2,675.0,3,D
725,488,1,330.0,5,F
728,580,1,300.0,5,F
729,766,1,430.0,5,F
731,511,1,570.0,5,F
733,1035,1,1090.0,1,B
736,242,1,130.0,2,C
737,99,4,700.0,3,D
739,81,2,790.0,3,D
740,162,2,825.0,3,D
741,613,1,200.0,5,F
742,495,1,300.0,5,F
743,110,3,801.6666666666666,3,D
744,586,2,815.0,3,D
746,377,2,298.0,0,A
