location,neighborhoods,population,table_date
"Albuquerque, New Mexico",Sun North Estates,249,2023-11-23
"Albuquerque, New Mexico",Cherry Hills,886,2023-11-23
"Albuquerque, New Mexico",Alameda N Valley,7,2023-11-23
"Albuquerque, New Mexico",West Mesa,"7,098",2023-11-23
"Albuquerque, New Mexico",Jerry Cline Park,"1,452",2023-11-23
"Albuquerque, New Mexico",Hodgin,"3,285",2023-11-23
"Albuquerque, New Mexico",Greater Gardner,251,2023-11-23
"Albuquerque, New Mexico",Cottonwood Heights,"1,630",2023-11-23
"Albuquerque, New Mexico",West Bluff,"1,831",2023-11-23
"Albuquerque, New Mexico",Carmel,34,2023-11-23
"Albuquerque, New Mexico",Trumbull Village,"8,455",2023-11-23
"Albuquerque, New Mexico",Sandia Ridge,"1,145",2023-11-23
"Albuquerque, New Mexico",Boyds-Leslie Park,299,2023-11-23
"Albuquerque, New Mexico",Sonora,240,2023-11-23
"Albuquerque, New Mexico",Oso Grande,"1,061",2023-11-23
"Albuquerque, New Mexico",Alban Hills,"4,335",2023-11-23
"Albuquerque, New Mexico",Alamosa,"4,506",2023-11-23
"Albuquerque, New Mexico",Broadway Central,"1,093",2023-11-23
"Albuquerque, New Mexico",Glenwood Hills,"2,680",2023-11-23
"Albuquerque, New Mexico",Heritage East,"3,155",2023-11-23
"Albuquerque, New Mexico",Rio Grande Blvd,"2,411",2023-11-23
"Albuquerque, New Mexico",South Guadalupe Trail,699,2023-11-23
"Albuquerque, New Mexico",Winterwood Park,47,2023-11-23
"Albuquerque, New Mexico",Seven Bar North,"1,471",2023-11-23
"Albuquerque, New Mexico",Fair Heights,984,2023-11-23
"Albuquerque, New Mexico",Tanoan,"1,405",2023-11-23
"Albuquerque, New Mexico",Wells Park,"1,321",2023-11-23
"Albuquerque, New Mexico",Onate,"1,347",2023-11-23
"Albuquerque, New Mexico",Glenwood Hills South Casa Grande,"1,201",2023-11-23
"Albuquerque, New Mexico",Parkway,"3,533",2023-11-23
"Arlington, Texas",North,"40,012",2023-11-23
"Arlington, Texas",Southwest,"49,063",2023-11-23
"Arlington, Texas",Central,"24,068",2023-11-23
"Arlington, Texas",West,"76,971",2023-11-23
"Arlington, Texas",East,"91,825",2023-11-23
"Arlington, Texas",Southeast,"83,499",2023-11-23
"Atlanta, Georgia",Capitol View Manor,659,2023-11-23
"Atlanta, Georgia",Englewood Manor,7,2023-11-23
"Atlanta, Georgia",Ben Hill Forest,92,2023-11-23
"Atlanta, Georgia",Beecher Hills,664,2023-11-23
"Atlanta, Georgia",Fort McPherson,371,2023-11-23
"Atlanta, Georgia",Ben Hill,"1,787",2023-11-23
"Atlanta, Georgia",Fairburn Mays,"3,424",2023-11-23
"Atlanta, Georgia",Tuxedo Park,"1,001",2023-11-23
"Atlanta, Georgia",English Park,227,2023-11-23
"Atlanta, Georgia",Niskey Cove,"1,579",2023-11-23
"Atlanta, Georgia",Chastain Park,"2,458",2023-11-23
"Atlanta, Georgia",State Facility,245,2023-11-23
"Atlanta, Georgia",Ashview Heights,"1,308",2023-11-23
"Atlanta, Georgia",Randall Mill,332,2023-11-23
"Atlanta, Georgia",Lindridge - Martin Manor,"4,206",2023-11-23
"Atlanta, Georgia",Betmar LaVilla,528,2023-11-23
"Atlanta, Georgia",Florida Heights,"1,191",2023-11-23
"Atlanta, Georgia",Bankhead,"1,810",2023-11-23
"Atlanta, Georgia",Marietta Street Artery,707,2023-11-23
"Atlanta, Georgia",Cross Creek,"2,025",2023-11-23
"Atlanta, Georgia",The Villages at Carver,955,2023-11-23
"Atlanta, Georgia",Oakland,270,2023-11-23
"Atlanta, Georgia",Oakcliff,836,2023-11-23
"Atlanta, Georgia",Fairburn Road - Wisteria Lane,44,2023-11-23
"Atlanta, Georgia",Midtown,"17,064",2023-11-23
"Atlanta, Georgia",Butner-Tell,334,2023-11-23
"Atlanta, Georgia",Pittsburgh,"3,468",2023-11-23
"Atlanta, Georgia",Audobon Forest West,320,2023-11-23
"Austin, Texas",Cantarra,191,2023-11-23
"Austin, Texas",MLK,"4,917",2023-11-23
"Austin, Texas",North Shoal Creek,"3,471",2023-11-23
"Austin, Texas",Crestview,"3,927",2023-11-23
"Austin, Texas",Wooten,"5,339",2023-11-23
"Austin, Texas",Dessau Estates,"1,221",2023-11-23
"Austin, Texas",Rosewood,"4,076",2023-11-23
"Austin, Texas",North Lamar,"6,478",2023-11-23
"Austin, Texas",University Hills,"4,665",2023-11-23
"Austin, Texas",Old West Austin,"4,225",2023-11-23
"Austin, Texas",Hancock,"4,662",2023-11-23
"Austin, Texas",Windsor Park,"15,086",2023-11-23
"Austin, Texas",Upper Boggy Creek,"5,302",2023-11-23
"Austin, Texas",Govalle,"4,078",2023-11-23
"Austin, Texas",Downtown,"7,635",2023-11-23
"Austin, Texas",Parker Lane,"9,581",2023-11-23
"Austin, Texas",Franklin Park,"16,927",2023-11-23
"Austin, Texas",Pleasant Valley,"12,618",2023-11-23
"Austin, Texas",Pecan Springs Springdale,"4,832",2023-11-23
"Austin, Texas",Brentwood,"7,513",2023-11-23
"Austin, Texas",North University,"4,791",2023-11-23
"Austin, Texas",West Congress,"2,674",2023-11-23
"Austin, Texas",University of Texas,"7,246",2023-11-23
"Austin, Texas",North Burnett,"4,472",2023-11-23
"Austin, Texas",East Congress,"3,104",2023-11-23
"Austin, Texas",Rosedale,"6,005",2023-11-23
"Austin, Texas",Windsor Hills,"7,087",2023-11-23
"Austin, Texas",Heritage Hills,"5,853",2023-11-23
"Baltimore, Maryland",Loch Raven,"6,163",2023-11-23
"Baltimore, Maryland",Holabird Industrial Park,18,2023-11-23
"Baltimore, Maryland",Mount Vernon,"4,818",2023-11-23
"Baltimore, Maryland",Cameron Village,"1,435",2023-11-23
"Baltimore, Maryland",Hunting Ridge,"1,296",2023-11-23
"Baltimore, Maryland",Biddle Street,"1,265",2023-11-23
"Baltimore, Maryland",Morgan Park,256,2023-11-23
"Baltimore, Maryland",Purnell,849,2023-11-23
"Baltimore, Maryland",Little Italy,576,2023-11-23
"Baltimore, Maryland",Carroll Park,43,2023-11-23
"Baltimore, Maryland",Herring Run Park,30,2023-11-23
"Baltimore, Maryland",Woodbourne Heights,"1,795",2023-11-23
"Baltimore, Maryland",Winchester,"1,420",2023-11-23
"Baltimore, Maryland",West Forest Park,"2,408",2023-11-23
"Baltimore, Maryland",Poppleton,"3,105",2023-11-23
"Baltimore, Maryland",Stonewood-Pentwood-Winston,"1,405",2023-11-23
"Baltimore, Maryland",Evergreen Lawn,"1,132",2023-11-23
"Baltimore, Maryland",Levindale,"1,218",2023-11-23
"Baltimore, Maryland",Cedarcroft,726,2023-11-23
"Baltimore, Maryland",Dunbar-Broadway,889,2023-11-23
"Baltimore, Maryland",Parkview - Woodbrook,"1,981",2023-11-23
"Baltimore, Maryland",Lucille Park,567,2023-11-23
"Baltimore, Maryland",Winston-Govans,"1,341",2023-11-23
"Baltimore, Maryland",Easterwood,"1,596",2023-11-23
"Baltimore, Maryland",Patterson Park,"5,820",2023-11-23
"Baltimore, Maryland",Medford,"1,412",2023-11-23
"Baltimore, Maryland",Highlandtown,"2,666",2023-11-23
"Baltimore, Maryland",Sharp-Leadenhall,822,2023-11-23
"Baltimore, Maryland",Violetville,"2,507",2023-11-23
"Baltimore, Maryland",Hanlon-Longwood,"2,311",2023-11-23
"Boston, Massachusetts",Kenmore,"17,209",2023-11-23
"Boston, Massachusetts",East Boston,"40,508",2023-11-23
"Boston, Massachusetts",North End,"10,605",2023-11-23
"Boston, Massachusetts",Boston Harbor Islands,2,2023-11-23
"Boston, Massachusetts",Bay Village,"3,658",2023-11-23
"Boston, Massachusetts",Charlestown,"16,439",2023-11-23
"Boston, Massachusetts",Chinatown,"6,871",2023-11-23
"Boston, Massachusetts",Long Island,533,2023-11-23
"Boston, Massachusetts",Hyde Park,"31,845",2023-11-23
"Boston, Massachusetts",Downtown Crossing,815,2023-11-23
"Boston, Massachusetts",Government Center,300,2023-11-23
"Boston, Massachusetts",Back Bay,"21,884",2023-11-23
"Boston, Massachusetts",Downtown,"1,976",2023-11-23
"Boston, Massachusetts",North Dorchester,"27,541",2023-11-23
"Boston, Massachusetts",Mattapan,"34,391",2023-11-23
"Boston, Massachusetts",West End,"5,330",2023-11-23
"Boston, Massachusetts",Allston,"28,821",2023-11-23
"Boston, Massachusetts",Roxbury,"52,534",2023-11-23
"Boston, Massachusetts",Haymarket,221,2023-11-23
"Boston, Massachusetts",South Dorchester,"60,792",2023-11-23
"Boston, Massachusetts",Beacon Hill,"9,943",2023-11-23
"Boston, Massachusetts",Brighton,"45,977",2023-11-23
"Charlotte, North Carolina",Ponderosa-Wingate,"1,491",2023-11-23
"Charlotte, North Carolina",Arbor Glen,925,2023-11-23
"Charlotte, North Carolina",Highland Creek,"11,456",2023-11-23
"Charlotte, North Carolina",Sardis Forest,"4,050",2023-11-23
"Charlotte, North Carolina",Eastway-Sheffield Park,"4,881",2023-11-23
"Charlotte, North Carolina",Sardis Woods,"4,357",2023-11-23
"Charlotte, North Carolina",Colonial Village,"1,129",2023-11-23
"Charlotte, North Carolina",Wessex Square,"5,987",2023-11-23
"Charlotte, North Carolina",Lincoln Heights,"2,269",2023-11-23
"Charlotte, North Carolina",Westchester,"3,466",2023-11-23
"Charlotte, North Carolina",Wilmore,"1,551",2023-11-23
"Charlotte, North Carolina",University Park,"1,249",2023-11-23
"Charlotte, North Carolina",Firestone-Garden Park,"4,107",2023-11-23
"Charlotte, North Carolina",Druid Hills South,989,2023-11-23
"Charlotte, North Carolina",Oak Forest,"6,664",2023-11-23
"Charlotte, North Carolina",East Forest,"11,626",2023-11-23
"Charlotte, North Carolina",Smallwood,"1,167",2023-11-23
"Charlotte, North Carolina",Sherwood Forest,"3,514",2023-11-23
"Charlotte, North Carolina",Yorkmount,"9,528",2023-11-23
"Charlotte, North Carolina",University City North,"2,587",2023-11-23
"Charlotte, North Carolina",McCrorey Heights,335,2023-11-23
"Charlotte, North Carolina",Reid Park,859,2023-11-23
"Charlotte, North Carolina",Ballantyne East,"8,255",2023-11-23
"Charlotte, North Carolina",Commonwealth,546,2023-11-23
"Charlotte, North Carolina",North Charlotte,"2,859",2023-11-23
"Charlotte, North Carolina",Madison Park,"4,557",2023-11-23
"Charlotte, North Carolina",Harwood Lane,"5,813",2023-11-23
"Charlotte, North Carolina",Briarcreek-Woodland,"4,336",2023-11-23
"Charlotte, North Carolina",Third Ward,"2,831",2023-11-23
"Charlotte, North Carolina",Charlotte Douglas International Airport,247,2023-11-23
"Chicago, Illinois",Bronzeville,"29,313",2023-11-23
"Chicago, Illinois",Streeterville,"21,156",2023-11-23
