GEO_ID	NAME	DP05_0088E
Geography	Geographic Area Name	Estimate!!Total housing units
1600000US0103076	"Auburn city, Alabama"	35738
1600000US0107000	"Birmingham city, Alabama"	109533
1600000US0121184	"Dothan city, Alabama"	33349
1600000US0135896	"Hoover city, Alabama"	38893
1600000US0137000	"Huntsville city, Alabama"	104492
1600000US0150000	"Mobile city, Alabama"	89855
1600000US0151000	"Montgomery city, Alabama"	95367
1600000US0177256	"Tuscaloosa city, Alabama"	53652
1600000US0203000	"Anchorage municipality, Alaska"	120871
1600000US0404720	"Avondale city, Arizona"	33151
1600000US0407940	"Buckeye city, Arizona"	37286
1600000US0410670	"Casas Adobes CDP, Arizona"	34266
1600000US0412000	"Chandler city, Arizona"	113092
1600000US0423620	"Flagstaff city, Arizona"	32374
1600000US0427400	"Gilbert town, Arizona"	98350
1600000US0427820	"Glendale city, Arizona"	92871
1600000US0428380	"Goodyear city, Arizona"	40718
1600000US0444410	"Maricopa city, Arizona"	24398
1600000US0446000	"Mesa city, Arizona"	218778
1600000US0454050	"Peoria city, Arizona"	79443
1600000US0455000	"Phoenix city, Arizona"	657235
1600000US0458150	"Queen Creek town, Arizona"	22017
1600000US0464210	"San Tan Valley CDP, Arizona"	38237
1600000US0465000	"Scottsdale city, Arizona"	139380
1600000US0471510	"Surprise city, Arizona"	60910
1600000US0473000	"Tempe city, Arizona"	85935
1600000US0477000	"Tucson city, Arizona"	249788
1600000US0485540	"Yuma city, Arizona"	45408
1600000US0515190	"Conway city, Arkansas"	29985
1600000US0523290	"Fayetteville city, Arkansas"	45479
1600000US0524550	"Fort Smith city, Arkansas"	40825
1600000US0535710	"Jonesboro city, Arkansas"	34484
1600000US0541000	"Little Rock city, Arkansas"	96847
1600000US0560410	"Rogers city, Arkansas"	28209
1600000US0566080	"Springdale city, Arkansas"	32760
1600000US0600562	"Alameda city, California"	30553
1600000US0600884	"Alhambra city, California"	33976
1600000US0602000	"Anaheim city, California"	109459
1600000US0602252	"Antioch city, California"	38701
1600000US0602364	"Apple Valley town, California"	26759
1600000US0602553	"Arden-Arcade CDP, California"	40633
1600000US0603526	"Bakersfield city, California"	135363
1600000US0603666	"Baldwin Park city, California"	19165
1600000US0604982	"Bellflower city, California"	25755
1600000US0606000	"Berkeley city, California"	51183
1600000US0608142	"Brentwood city, California"	22034
