neighborhoods,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera","Walmart, 8333 Van Nuys Blvd, Panorama City","Walmart Supercenter, 7250 Carson Blvd, Long Beach","Walmart Supercenter, 19821 Rinaldi St, Porter Ranch","Target, 8840 Corbin Ave, Northridge","Kohl's, 8800 Corbin Ave, Northridge","Target, 11051 Victory Blvd, North Hollywood","Kohl's, 1201 S Fremont Ave, Alhambra","Target, 5500 W Sunset Blvd, Los Angeles","JCPenney, 20700 Avalon Blvd, Carson","Target, 20700 Avalon Blvd Suite 700, Carson","Target, 3535 S La Cienega Blvd, Los Angeles","Target, 1601 Kingsdale Ave, Redondo Beach","Target, 3471 W Century Blvd, Inglewood","Kohl's, 25375 Crenshaw Blvd, Torrance","Kohl's, 504 Huntington Dr, Monrovia","Walmart, 19503 S Normandie Ave, Torrance","Target, 6635 Fallbrook Ave, West Hills","Walmart Supercenter, 3705 E South St, Long Beach","Walmart Supercenter, 2770 E Carson St, Lakewood","Kohl's, 1799 Hawthorne Blvd, Redondo Beach","Walmart Neighborhood Market, 14441 S Inglewood Ave, Hawthorne","Marshalls, 14401 S Inglewood Ave, Hawthorne","Marshalls, 3420 W Century Blvd, Inglewood","Walmart, 2100 N Long Beach Blvd, Compton","JCPenney, 6420 Pacific Blvd, Huntington Park","Walmart Supercenter, 4651 Firestone Blvd, South Gate","Kohl's, 300 Stonewood St, Downey","JCPenney, 332 Stonewood St, Downey","Walmart Supercenter, 14501 Lakewood Blvd, Paramount","Target, 1800 Empire Ave, Burbank","Walmart Supercenter, 1301 N Victory Pl, Burbank","Walmart Supercenter, 26471 Carl Boyer Dr, Santa Clarita","Kohl's, 24200 Valencia Blvd, Valencia","JCPenney, 9301 Tampa Ave, Northridge","Walmart Supercenter, 9001 Apollo Way, Downey","Target, 3433 Sepulveda Blvd, Torrance","Kohl's, 872 New Los Angeles Ave, Moorpark"
Highland Park,24.5,34.4,44.2,51.7,55.2,55.5,25.4,6.9,17.9,38.1,37.3,23.4,41.5,29.0,46.6,20.2,34.8,48.4,38.6,41.5,40.9,38.6,38.5,28.5,32.2,18.3,25.7,29.0,28.8,32.5,20.5,19.3,58.2,60.0,54.5,30.0,42.6,81.3
Playa Vista,40.1,33.4,45.8,46.3,41.3,39.5,37.6,34.0,21.2,28.2,26.9,7.7,17.8,12.8,27.5,68.1,22.4,42.0,39.1,39.6,17.7,14.3,14.3,12.7,27.0,20.8,31.2,36.3,35.4,32.6,42.1,42.1,56.4,70.1,41.1,33.9,23.5,76.1
University Hills,16.2,39.2,36.3,52.0,55.4,55.6,29.7,3.9,17.3,33.2,35.6,24.3,41.7,36.1,46.9,23.7,35.7,54.1,29.8,31.8,41.2,43.2,44.4,35.6,23.2,14.8,16.7,20.0,19.8,23.5,26.0,24.8,68.8,61.8,64.2,24.9,42.8,81.4
North Hills,55.8,4.7,72.7,12.5,7.4,8.3,17.8,49.6,30.8,57.2,56.2,32.2,47.4,41.8,56.8,55.3,51.3,18.1,69.4,72.8,47.1,43.5,43.5,41.7,56.6,49.5,69.7,59.7,70.6,76.5,22.2,23.2,23.8,26.6,7.2,77.8,54.6,42.1
Mar Vista,47.3,27.5,51.3,40.4,35.9,33.6,31.7,32.5,18.9,30.8,29.9,6.9,20.8,15.6,30.4,62.3,25.0,36.1,43.2,42.5,20.6,17.2,17.1,15.6,30.3,22.8,34.1,39.1,38.7,35.9,36.2,36.2,53.0,52.3,34.7,37.2,28.2,70.0
Valley Glen,42.4,6.8,56.1,24.3,27.8,18.7,4.1,34.7,14.9,50.5,49.6,25.2,45.5,33.9,64.3,41.0,47.0,24.5,59.5,68.1,45.4,41.9,41.8,33.7,51.2,36.6,44.8,44.4,44.2,51.6,9.1,9.3,31.6,34.3,27.1,53.1,60.2,53.0
Pacoima,58.3,8.6,70.0,17.1,20.6,20.8,12.6,39.0,28.1,68.6,67.9,41.4,56.1,51.0,65.8,44.7,60.3,31.9,70.8,72.7,56.3,52.8,52.7,51.3,63.4,49.5,56.9,78.5,62.3,64.5,19.5,20.5,25.3,27.1,19.8,61.2,63.6,46.6
Mid City,26.0,28.0,44.7,42.9,47.7,41.6,23.3,22.1,7.4,30.4,29.7,5.5,23.5,12.2,39.0,38.9,27.2,49.8,39.6,42.4,23.8,19.8,20.2,11.9,26.3,15.2,24.7,28.0,34.8,31.9,21.6,19.6,51.1,54.1,45.7,31.0,31.4,72.5
Sun Valley,46.5,7.8,68.9,21.4,24.9,25.1,7.7,36.7,21.6,56.8,56.1,32.7,60.4,55.4,70.1,42.1,53.5,36.1,58.9,68.8,60.3,57.4,57.3,55.3,52.3,37.6,45.8,53.1,55.2,52.6,10.3,11.3,29.5,31.3,24.1,54.0,71.9,51.0
Mission Hills,54.5,8.6,68.8,11.4,14.9,15.1,16.1,45.6,26.9,60.3,59.6,35.8,50.8,45.4,60.5,51.3,55.0,26.2,73.0,72.3,50.7,47.2,47.1,45.4,72.3,45.6,53.8,69.1,61.0,60.7,18.3,19.3,21.3,21.4,14.1,68.2,56.1,41.0
