city	state	metro_traffic_rank	num_highways	max_m2_size_000	estimated_num_parking_space_0	rough_estimate_accessibility	rough_estimate_merchandizing	num_cbd
Raleigh	NC	4.17	12	124.78	100	5	5	1
Richmond	VA	4.5	27	94.68	100	6	6	1
Riverside	CA	4.33	3	110	200	7	7	1
Rochester	NY	3.17	8	151.43	100	3	3	1
Sacramento	CA	3.5	6	103.01	200	7	7	1
Salt Lake City	UT	3.67	6	120.77	100	7	7	2
San Antonio	TX	3.83	22	115.9	200	6	6	1
San Diego	CA	3.83	11	159.84	200	8	8	8
San Francisco	CA	1	7	145.35	50	9	9	1
San Jose	CA	3	10	200	50	7	7	1
Seattle	WA	1.33	21	156	100	8	8	2
St. Louis	MO	4.17	9	110	100	5	4	2
Syracuse	NY	4.5	18	220	100	3	3	1
Tampa	FL	2.5	18	116.4	100	6	6	3
Tucson	AZ	2.17	8	119.58	100	5	5	1
Tulsa	OK	3.83	11	101.44	100	4	4	1
Virginia Beach	VA	3.17	13	109	100	6	6	1
Washington	DC	1.83	14	48.31	50	9	5	10
Winston-Salem	NC	4.83	21	133.33	100	4	4	1
Worcester	MA	4.17	10	40.1	100	4	3	1
