element_type,osmid,geometry,leisure,name,amenity,denomination,religion,cuisine,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,internet_access,opening_hours,phone,smoking,operator,social_facility,brand,brand:wikidata,atm,brand:wikipedia,level,drive_through,takeaway,sport,bus,public_transport,backrest,covered,fuel,official_name,not:brand:wikidata,addr:province,addr:unit,description,office,website,nodes,ALAND,AREAID,AWATER,COUNTYFP,MTFCC,STATEFP,Tiger:MTFCC,source,surface,building,access,female,male,shelter_type,tourism,contact:website,building:part,dispensing,healthcare,short_name,landuse,store
node,2412826252,POINT (-118.8624949 34.2724585),playground,Miller Park Playground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,2414122350,POINT (-118.8679823 34.2718113),,Moorpark Presbyterian Church,place_of_worship,presbyterian,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,2414122351,POINT (-118.8690413 34.2728088),,,place_of_worship,catholic,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,2414138417,POINT (-118.8721634 34.2786468),,Wood Ranch BBQ,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,2414138423,POINT (-118.8729198 34.2783454),,,restaurant,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,2414138428,POINT (-118.873424 34.2786512),,,restaurant,,,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,3927848816,POINT (-118.8641211 34.2792685),,It's A Grind Coffee House,cafe,,,coffee_shop,Moorpark,888,93021,CA,E. Los Angeles Avenue,yes,Mo-Sa 06:00-20:00; Su 07:00-20:00,+1 805 5233339,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,4055832776,POINT (-118.8735613 34.2851962),,,restaurant,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,4062529431,POINT (-118.8742458 34.2833817),,VC/CHP Police Services Center,police,,,,,,,,,,,,,Ventura County / CHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,4062529432,POINT (-118.8740978 34.2842586),,Moorpark Human Services Center,social_facility,,,,,,,,,,,,,,food_bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,4062552662,POINT (-118.874341 34.2852376),,76,fuel,,,,,,,,,,,,,,,76,Q1658320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,4619141952,POINT (-118.8701844 34.2784944),,Bank of America,bank,,,,,,,,,,,,,,,Bank of America,Q487907,yes,en:Bank of America,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
node,4619141956,POINT (-118.8666152 34.2799084),,The Natural Cafe,fast_food,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kohl's, 872 New Los Angeles Ave, Moorpark"
