element_type,osmid,nodes,landuse,geometry,store,amenity,compressed_air,name,source,access,fee,parking,covered,alt_name,historic,old_name,operator,studio,wikipedia,addr:city,addr:housenumber,addr:state,addr:street,website,official_name,brand,brand:wikidata,shop,tourism,addr:postcode,phone,description
way,1166085310,"[10845879307, 10845879308, 10845879309, 10845879310, 10845879311, 10845879312, 10845879313, 10845858732, 10845858733, 10845858793, 10845858794, 10845858795, 10845858796, 10845858797, 10845858798, 10845879307]",commercial,"POLYGON ((-118.1005842 33.9859005, -118.1009461 33.9854583, -118.0984775 33.9841155, -118.0972167 33.9834232, -118.0971534 33.9834252, -118.0970949 33.9834555, -118.0958925 33.9849955, -118.0963869 33.9852697, -118.0967691 33.9854897, -118.0970353 33.9855853, -118.0972231 33.9853802, -118.0980842 33.9857903, -118.0986064 33.9851979, -118.0989819 33.9854068, -118.0991835 33.9851751, -118.1005842 33.9859005))","Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,402824611,"[4052362056, 4311196771, 4052362057, 4052362062, 4052362064, 4052362076, 4052362056]",commercial,"POLYGON ((-118.4499377 34.2158665, -118.4498304 34.2158669, -118.4489488 34.215871, -118.4489499 34.2159268, -118.4489479 34.2161447, -118.4499382 34.2161464, -118.4499377 34.2158665))","Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1007196557,"[9291966582, 9291966583, 9291966584, 9291966585, 9291966586, 9291966587, 9291966582]",commercial,"POLYGON ((-118.4606213 34.2219891, -118.4606212 34.222312, -118.4605991 34.222312, -118.4599965 34.2223525, -118.4599349 34.2219996, -118.4600526 34.2219912, -118.4606213 34.2219891))","Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1079912492,"[9898780424, 9898780429, 9898780426, 9898780427, 9898780428, 9898780425, 9898780424]",commercial,"POLYGON ((-118.4479728 34.224664, -118.4468529 34.2246771, -118.4468493 34.224306, -118.4472865 34.2243075, -118.4473125 34.2243037, -118.4479713 34.2242996, -118.4479728 34.224664))","Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1079912493,"[9898780441, 9898780450, 9898780451, 9898780452, 9898780453, 9898780454, 9898780455, 9898780456, 9898780435, 9898780436, 9898780437, 9898780438, 9898780441]",commercial,"POLYGON ((-118.4465435 34.2217354, -118.446121 34.2217397, -118.4461035 34.2217417, -118.446085 34.2217454, -118.4460738 34.221751, -118.4460655 34.2217627, -118.4460596 34.2217756, -118.4460572 34.2217877, -118.4460602 34.2221476, -118.4464701 34.2221472, -118.4464689 34.2220521, -118.446532 34.2220514, -118.4465435 34.2217354))","Walmart, 8333 Van Nuys Blvd, Panorama City",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1074690475,"[9857088896, 6110406578, 6110406572, 9857088897, 9857088898, 9857088899, 9857088900, 9857088901, 9857088902, 9857088903, 9857088904, 9857088896]",commercial,"POLYGON ((-118.5534046 34.2348752, -118.5528312 34.2348715, -118.552835 34.2353496, -118.5533517 34.2353494, -118.5533649 34.2353475, -118.5533766 34.2353422, -118.553388 34.2353347, -118.5533962 34.2353257, -118.553401 34.2353154, -118.5534035 34.2353072, -118.5534048 34.2352937, -118.5534046 34.2348752))","Target, 8840 Corbin Ave, Northridge",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1116420785,"[10211062100, 10211062101, 10211062102, 10211062103, 10853558452, 10211062104, 10211062100]",commercial,"POLYGON ((-118.5542864 34.2283744, -118.5542834 34.2288158, -118.5537484 34.2288126, -118.5537502 34.2284237, -118.5537614 34.2283864, -118.5538012 34.2283705, -118.5542864 34.2283744))","Target, 8840 Corbin Ave, Northridge",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1137206621,"[10600903855, 10600903856, 10861468727, 10600903857, 10861468728, 10600903858, 10600903855]",commercial,"POLYGON ((-118.5621593 34.2375568, -118.5621447 34.2356747, -118.5620906 34.235633, -118.5598822 34.2356318, -118.5599023 34.2358343, -118.5599296 34.2375771, -118.5621593 34.2375568))","Target, 8840 Corbin Ave, Northridge",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1074690475,"[9857088896, 6110406578, 6110406572, 9857088897, 9857088898, 9857088899, 9857088900, 9857088901, 9857088902, 9857088903, 9857088904, 9857088896]",commercial,"POLYGON ((-118.5534046 34.2348752, -118.5528312 34.2348715, -118.552835 34.2353496, -118.5533517 34.2353494, -118.5533649 34.2353475, -118.5533766 34.2353422, -118.553388 34.2353347, -118.5533962 34.2353257, -118.553401 34.2353154, -118.5534035 34.2353072, -118.5534048 34.2352937, -118.5534046 34.2348752))","Kohl's, 8800 Corbin Ave, Northridge",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1116420785,"[10211062100, 10211062101, 10211062102, 10211062103, 10853558452, 10211062104, 10211062100]",commercial,"POLYGON ((-118.5542864 34.2283744, -118.5542834 34.2288158, -118.5537484 34.2288126, -118.5537502 34.2284237, -118.5537614 34.2283864, -118.5538012 34.2283705, -118.5542864 34.2283744))","Kohl's, 8800 Corbin Ave, Northridge",,,,,,,,,,,,,,,,,,,,,,,,,,,
