element_type,osmid,highway,geometry,source,source_ref,nodes,lanes,maxspeed,name,oneway,source:maxspeed,source_ref:maxspeed,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,tiger:zip_left,tiger:zip_right,hgv,hgv:national_network,note,old_ref:legislative,ref,source:hgv,source:hgv:national_network,source_ref:hgv,turn:lanes,bridge,lanes:backward,lanes:forward,layer,turn:lanes:backward,turn:lanes:forward,surface,store,source:highway,cycleway:right,lanes:both_ways,turn:lanes:both_ways,sidewalk,tiger:name,bicycle,destination,tiger:reviewed,destination:ref,bicycle:lanes,tiger:name_direction_prefix,old_ref,hov:lanes,note:lanes,placement,tiger:source,tiger:tlid,tiger:upload_uuid,destination:lanes,junction:ref,access:lanes,access:lanes:backward,access:lanes:both_ways,access:lanes:forward,bicycle:lanes:backward,bicycle:lanes:forward,cycleway,cycleway:left,maxspeed:advisory,NHS,old_name,maxheight,hov:minimum,motor_vehicle:lanes,destination:street,tiger:separated,sidewalk:left,sidewalk:right,cyclerating,lit,parking:left,parking:left:orientation,maxweight,source:maxweight,source:name,source_ref:maxweight,hgv:state_network,source:hgv:state_network,bus,hov,network,opening_hours,operator,toll,unsigned_ref,maxspeed:conditional,foot,maxspeed:hgv,maxspeed:towing,source:maxspeed:hgv,source:maxspeed:towing,source_ref:maxspeed:hgv,source_ref:maxspeed:towing,noref,alt_name,cycleway:both,maxspeed:school,tiger:name_base_1,tiger:name_direction_prefix_1,tiger:name_type_1,change:lanes,maxspeed:trailer,name_1,junction:unsigned_ref,access,emergency,expressway,shoulder,lanes:bus,wikidata,wikipedia,lanes:bus:backward,lanes:bus:forward,parking:both,smoothness,parking:lane:left,parking:lane:right,parking:lane:right:parallel,incline,parking:right,parking:right:orientation,parking:lane:both,parking:condition:right,check_date:smoothness,parking,sidewalk:both,parking:both:restriction,check_date:cycleway,is_in:state_code,width,horse,tiger:zip,placement:backward,tiger:linearid,tiger:mtfcc,lane_markings,placement:forward,tiger:zip_left_1,tiger:zip_left_2,tiger:zip_left_3,tiger:zip_right_3,motor_vehicle,old_ref_1,cycleway:both:lane,bridge:name,bridge_ref,milepost:county,source:bridge,source_ref:bridge,maxweight:signed,cycleway:right:lane,traffic_calming,source:maxheight,source_ref:maxheight,name_2,tunnel,ref:left,ref:right,tiger:name_base_2
way,23408337,primary,"LINESTRING (-118.1095987 33.9907427, -118.1095704 33.9906272, -118.1078243 33.9891041, -118.1075023 33.9888482, -118.107079 33.9885672, -118.1065169 33.9882575, -118.1063267 33.9881542, -118.1057756 33.9878549)",usgs_imagery;survey;image,AM909_DSCP3431,"[26493046, 4022078035, 253435377, 528562611, 528562622, 26493047, 7592375076, 4022078029]",3,40 mph,Washington Boulevard,yes,survey;image,AM909_DSCU3904,,,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72370587,primary,"LINESTRING (-118.111615 33.9758639, -118.1103639 33.9784022, -118.1100668 33.9791045, -118.1095784 33.980384, -118.1093256 33.9810285)",image;survey;usgs_imagery,AM909_DSCP3492;AM909_DSCP7332,"[122662103, 528562337, 123074792, 2898340821, 2898340823]",2,40 mph,Paramount Boulevard,yes,,,A41,"Los Angeles, CA",Paramount,Blvd,90723,90723,,,,,,,,,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72370603,primary,"LINESTRING (-118.0953303 33.9855907, -118.0956004 33.9852405, -118.095611 33.9852285)",image;survey;usgs_imagery,AM909_DSCP3501;AM909_DSCP7336,"[4022442593, 6788028344, 123027976]",3,35 mph,Rosemead Boulevard,yes,sign,AM909_DSCU3877,,,,,,,designated,terminal_access,"SR-19 confirmed signed at Whittier (pic AM909_DSCP7336), Beverly (pic AM909_DSCU5191)",168,CA 19,survey;image,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,AM909_DSCU3840,left||,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72370605,primary,"LINESTRING (-118.0970719 33.9831483, -118.0970435 33.9831886)",image;survey;usgs_imagery,AM909_DSCP3501;AM909_DSCP7336,"[859558988, 2472490427]",4,40 mph,Rosemead Boulevard,yes,survey;image,AM909_DSCU3824,,,,,,,designated,terminal_access,"SR-19 confirmed signed at Whittier (pic AM909_DSCP7336), Beverly (pic AM909_DSCU5191)",168,CA 19,survey;image,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,AM909_DSCU3840,left|||right,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72667520,primary,"LINESTRING (-118.0949861 33.9858198, -118.0945961 33.9863512, -118.094454 33.9865524)",image;survey;usgs_imagery,AM909_DSCP3501;AM909_DSCP7336,"[4022442594, 859558782, 4022442595]",2,40 mph,Rosemead Boulevard,yes,survey;image,AM909_DSCU3824,,,,,,,designated,terminal_access,"SR-19 confirmed signed at Whittier (pic AM909_DSCP7336), Beverly (pic AM909_DSCU5191)",168,CA 19,survey;image,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,AM909_DSCU3840,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,72667521,primary,"LINESTRING (-118.09624 33.984413, -118.0966186 33.9839384)",image;survey;usgs_imagery,AM909_DSCP3501;AM909_DSCP7336,"[862963269, 4022442591]",2,35 mph,Rosemead Boulevard,yes,sign,AM909_DSCU3877,,,,,,,designated,terminal_access,"SR-19 confirmed signed at Whittier (pic AM909_DSCP7336), Beverly (pic AM909_DSCU5191)",168,CA 19,survey;image,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,AM909_DSCU3840,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,186076406,primary,"LINESTRING (-118.1115081 33.9918538, -118.1111071 33.9916276)",usgs_imagery;survey;image,AM909_DSCU3910,"[1967750266, 4022078038]",7,40 mph,Washington Boulevard,,survey;image,AM909_DSCP3474,,,,,,,,,,,,,,,,yes,4,3,1,left|||,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,239473711,primary,"LINESTRING (-118.0962236 33.9844365, -118.0962286 33.9844299, -118.09624 33.984413)",image;survey;usgs_imagery,AM909_DSCP3501;AM909_DSCP7336,"[862963206, 6788028326, 862963269]",2,40 mph,Rosemead Boulevard,yes,survey;image,AM909_DSCU3877,,,,,,,designated,terminal_access,"SR-19 confirmed signed at Whittier (pic AM909_DSCP7336), Beverly (pic AM909_DSCU5191)",168,CA 19,survey;image,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,AM909_DSCU3840,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,239473712,primary,"LINESTRING (-118.0961322 33.9843554, -118.0961108 33.9843837)",image;survey;usgs_imagery,AM909_DSCP3501;AM909_DSCP7336,"[859558865, 862963265]",3,40 mph,Rosemead Boulevard,yes,survey;image,AM909_DSCU3824,,,,,,,designated,terminal_access,"SR-19 confirmed signed at Whittier (pic AM909_DSCP7336), Beverly (pic AM909_DSCU5191)",168,CA 19,survey;image,Caltrans http://www.dot.ca.gov/hq/traffops/trucks/truckmap/,AM909_DSCU3840,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,239473713,primary,"LINESTRING (-118.09624 33.984413, -118.0961322 33.9843554)",,,"[862963269, 859558865]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
