element_type,osmid,amenity,geometry,nodes,parking,surface,building,ele,height,lacounty:ain,lacounty:bld_id,start_date,access,building:levels,fee,store,covered,park_ride,supervised,source,landuse,name,building:units,building:part,ways,type,capacity,capacity:disabled,charge,opening_hours,roof:shape,operator,operator:type,payment:contactless,payment:credit_cards,payment:debit_cards,website,level,layer,colour,ref,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,construction,payment:american_express,payment:apple_pay,payment:google_pay,payment:mastercard,payment:visa,roof:levels,created_by,maxheight,wheelchair,payment:prepaid_ticket,note,fixme,maxstay
way,806332362,parking,"POLYGON ((-118.1494455 34.0871704, -118.1494069 34.0871707, -118.1494065 34.0871203, -118.1493473 34.0871206, -118.1489508 34.0871229, -118.1489514 34.087192, -118.1488597 34.0871926, -118.1488577 34.0869534, -118.1494435 34.0869499, -118.1494455 34.0871704))","[7540303377, 7540303378, 7540303379, 7540312690, 7540303380, 7540303381, 7540303382, 7540303383, 7540303384, 7540303377]",multi-storey,concrete,parking,,,,,,yes,2,no,"Kohl's, 1201 S Fremont Ave, Alhambra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,189651920,parking,"POLYGON ((-118.3823223 34.0161015, -118.382152 34.0160531, -118.3820944 34.0160224, -118.381992 34.0159515, -118.38195 34.0159219, -118.381905 34.0158907, -118.3817349 34.015785, -118.3816286 34.0157216, -118.3814271 34.0156184, -118.3815253 34.0154776, -118.3817053 34.0155717, -118.3819533 34.0157166, -118.3821755 34.0158624, -118.3822384 34.0159033, -118.3823028 34.0159275, -118.382405 34.01595, -118.3823832 34.0160126, -118.3823451 34.0160511, -118.3823223 34.0161015))","[2002405892, 2002405943, 2002405704, 8309816731, 8309816730, 8309816729, 2002405616, 2002405831, 2002405670, 2002405667, 2002405895, 2002405721, 2002405881, 2002405899, 8117677663, 2002405732, 8117677661, 8117677664, 2002405892]",surface,compacted,,,,,,,yes,1,yes,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,40+,4,2.00 USD/hour;6.00 USD/day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,211777832,parking,"POLYGON ((-118.3719674 34.0257565, -118.371521 34.0257095, -118.3714568 34.0257021, -118.371402 34.0261576, -118.3714615 34.0261626, -118.3719126 34.0262013, -118.3719674 34.0257565))","[2217375125, 3153620473, 2217375127, 2217375124, 3153620474, 2217375126, 2217375125]",multi-storey,,parking,,,,,,yes,4,no,"Target, 3535 S La Cienega Blvd, Los Angeles",,yes,no,,,Metro Park and Ride,,,,,,,,24/7,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,872868560,parking,"POLYGON ((-118.3841817 34.0197834, -118.3837646 34.0199766, -118.3837911 34.0200078, -118.3842158 34.0198615, -118.3841817 34.0197834))","[8128304684, 8128304685, 8128304686, 8128304687, 8128304684]",surface,gravel,,,,,,,yes,1,yes,"Target, 3535 S La Cienega Blvd, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,543956867,parking,"POLYGON ((-118.3359953 33.7931521, -118.3356684 33.7934665, -118.3356229 33.7934351, -118.3354812 33.7935676, -118.3352016 33.793366, -118.3352378 33.7933333, -118.3352702 33.7932482, -118.3355785 33.7929633, -118.3357276 33.7929046, -118.3359478 33.7930689, -118.3359169 33.7931052, -118.3359953 33.7931521))","[5258246306, 5258246307, 5258246308, 5258246309, 5258246310, 5258246311, 5258246312, 5258246313, 5258246314, 5258246315, 5258246316, 5258246306]",surface,asphalt,,,,,,,yes,1,no,"Kohl's, 25375 Crenshaw Blvd, Torrance",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,259295991,parking,"POLYGON ((-118.3427451 33.8292187, -118.342796 33.829122, -118.3421947 33.8287053, -118.3421374 33.8286656, -118.3420319 33.8287834, -118.342031 33.8290977, -118.342031 33.8291727, -118.3420319 33.8292157, -118.3427451 33.8292187))","[2646762695, 2646762697, 2646762704, 2646762699, 2646762700, 9441026058, 9441026057, 2646762703, 2646762695]",surface,,,,,,,,yes,1,no,"Target, 3433 Sepulveda Blvd, Torrance",,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,259649207,parking,"POLYGON ((-118.3488968 33.8265353, -118.3470163 33.8265195, -118.347016 33.826093, -118.3471035 33.8260915, -118.3471002 33.8260054, -118.3478377 33.8259977, -118.3478347 33.8254142, -118.3481541 33.8254341, -118.3483093 33.8254692, -118.348798 33.8255072, -118.348799 33.8255728, -118.3488896 33.8255784, -118.3488979 33.8256268, -118.3488968 33.8265353))","[2650796336, 2650796339, 7487385565, 7487385566, 2650796157, 2650796159, 2650795897, 7487385573, 7487385574, 2650795950, 7487385575, 2650795991, 7487385576, 2650796336]",surface,,,,,,,,yes,1,no,"Target, 3433 Sepulveda Blvd, Torrance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,285842349,parking,"POLYGON ((-118.3526218 33.8332522, -118.3524055 33.8318779, -118.3520482 33.8318804, -118.3520482 33.8316697, -118.3513331 33.8316673, -118.3513323 33.8317537, -118.3511732 33.8319227, -118.3511663 33.8324665, -118.3513126 33.8324679, -118.3513762 33.8326084, -118.351338 33.8326258, -118.3513083 33.832651, -118.3512998 33.83268, -118.3512987 33.8327434, -118.3514107 33.8332846, -118.3515244 33.8337353, -118.3519323 33.8337267, -118.351937 33.833256, -118.3526218 33.8332522))","[2894787177, 2894787178, 2894787179, 2894787180, 2894787181, 2894787182, 2894787183, 2894787184, 2894787185, 10069664044, 10069664046, 10069664045, 10069664047, 7281748706, 2894787186, 7281748708, 7281748707, 7281748705, 2894787177]",surface,,,,,,,,yes,1,no,"Target, 3433 Sepulveda Blvd, Torrance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,285842350,parking,"POLYGON ((-118.3522541 33.8311003, -118.3522502 33.8310004, -118.3521874 33.8305609, -118.3521558 33.8305207, -118.3515134 33.8305238, -118.3515134 33.8305828, -118.3515135 33.8307758, -118.3515135 33.8309668, -118.3515136 33.8310998, -118.3515136 33.8312886, -118.3515774 33.8312934, -118.3515927 33.8312966, -118.3516001 33.8313124, -118.3516026 33.8313479, -118.3517647 33.8313507, -118.3517608 33.8311368, -118.3518282 33.8311313, -118.3521814 33.8311318, -118.3521861 33.8310982, -118.3522541 33.8311003))","[2894787187, 9395902969, 9395902970, 2894787188, 2894787189, 4874536956, 4874536963, 4874536959, 4874536962, 2894787190, 9395902967, 9395902965, 9395902968, 9395902966, 9395902964, 9395902963, 1681704125, 4404745915, 9395902962, 2894787187]",surface,,,,,,,,yes,1,no,"Target, 3433 Sepulveda Blvd, Torrance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,285842351,parking,"POLYGON ((-118.3520794 33.8300446, -118.3518964 33.8288967, -118.3515765 33.8288889, -118.3515749 33.8285082, -118.3507543 33.8285139, -118.3507752 33.8290301, -118.3507891 33.8295134, -118.3507891 33.8300953, -118.351977 33.830102, -118.3520794 33.8300446))","[2894787191, 2894787192, 2894787193, 2894787194, 2894787195, 2894787196, 2894787197, 2894787198, 9395888886, 2894787191]",surface,,,,,,,,yes,1,no,"Target, 3433 Sepulveda Blvd, Torrance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
