element_type,osmid,highway,geometry,source,source_ref,bus,name,network,network:wikidata,operator,operator:wikidata,public_transport,ref,shelter,nodes,lanes,tiger:cfcc,tiger:county,tiger:name_base,tiger:name_type,tiger:zip_left,tiger:zip_right,lanes:backward,lanes:forward,turn:lanes:backward,turn:lanes:forward,store,bench,bin,route_ref,source:highway,cycleway,lanes:both_ways,maxspeed,name_1,source:maxspeed,tiger:name_base_1,tiger:name_type_1,tiger:reviewed,oneway,surface,bridge,layer,stop_code,stop_name,access:lanes:both_ways,placement:both_ways,tiger:name_direction_prefix,note:lanes,placement:backward,turn:lanes,bicycle,tiger:name_direction_prefix_1,departures_board,lit,tactile_paving,network:wikipedia,operator:wikipedia,railway,subway,wheelchair,station,wikidata,description,sidewalk,area,level,location,tunnel,name:en,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,light_rail,tiger:zip_left_1,tiger:zip_right_1,cycleway:both,amenity,note,loc_ref,alt_name,parking:both,parking,parking:lane:left,parking:right,parking:lane:both,parking:lane:both:parallel,parking:condition:both,cycleway:right,cycleway:both:lane,incline,parking:condition:right,sidewalk:both:wheelchair,cycleway:right:lane,sidewalk:right:wheelchair,cutting,parking:condition:left,parking:lane:right,parking:lane:right:parallel,cycleway:left,sidewalk:left,sidewalk:right,foot,shoulder,lane_markings,smoothness,parking:lane:left:parallel,turn:lanes:both_ways,parking:left,parking:left:orientation,cycleway:left:lane,sidewalk:both,name:prefix,hgv,horse,motor_vehicle,parking:both:restriction,parking:lane:right:diagonal,check_date,building,internet_access,internet_access:fee,towards,tiger:linearid,tiger:mtfcc,tiger:zip,junction,old_ref,old_ref:legislative,parking:both:orientation,covered,railway:position,train,hgv:conditional,tiger:name_direction_suffix,placement:forward
node,859559128,bus_stop,POINT (-118.094589 33.9867045),usgs_imagery;survey;image,AM909_DSCU3879,yes,Metro,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,266,no,,,,,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,862963179,bus_stop,POINT (-118.096731 33.9834365),usgs_imagery;survey;image,AM909_DSCU3893,yes,Metro,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,862963207,bus_stop,POINT (-118.097423 33.9835467),usgs_imagery;survey;image,AM909_DSCU3893,yes,Montebello,,,,,platform,,yes,,,,,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,862963241,bus_stop,POINT (-118.09799 33.9822423),usgs_imagery;survey;image,AM909_DSCU3885,yes,Metro,Metro Local,Q77610,Los Angeles County Metropolitan Transportation Authority,Q3259702,platform,,yes,,,,,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,864088853,bus_stop,POINT (-118.100588 33.9852501),usgs_imagery;survey;image,AM909_DSCU3898,yes,Montebello,,,,,platform,50,no,,,,,,,,,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,179223523,tertiary,"LINESTRING (-118.1028145 34.0050832, -118.1029669 34.0048613, -118.1030882 34.0046847, -118.1031391 34.0046102, -118.1032484 34.0044515, -118.1034394 34.0041733, -118.1036547 34.0038423, -118.1038967 34.0034702, -118.1039114 34.0034477, -118.1039308 34.003416, -118.1043714 34.0026958, -118.1044368 34.0025942, -118.1044844 34.0025122, -118.104533 34.0024334, -118.104586 34.0023402, -118.1048578 34.0018825, -118.1049744 34.0016449, -118.1049958 34.001575, -118.1050647 34.0013503, -118.1051375 34.0011619, -118.1051547 34.0011172, -118.1051964 34.0010395, -118.1053258 34.0007985, -118.1055279 34.0004946, -118.1058846 34.0000087, -118.1059657 33.9998985, -118.1066477 33.9988709, -118.1069176 33.998561, -118.107211 33.9982791, -118.1075279 33.99798, -118.1079548 33.9974212, -118.1083328 33.9968502, -118.1088473 33.9959611, -118.1095722 33.994621, -118.1098598 33.9942033, -118.1106205 33.993212, -118.1108775 33.9929072, -118.1110971 33.992608)",image;survey;usgs_imagery,AM909_DSCP3484,,Bluff Road,,,,,,,,"[123157470, 6788184465, 6726410459, 8460406750, 4989288903, 122953284, 7882906994, 7882899782, 123009252, 4621277279, 7882899772, 123157473, 7955852201, 7955852202, 7457118090, 528562764, 528562766, 3701536913, 528562765, 3701536895, 528562756, 3701536893, 528562758, 528562757, 3701537447, 123146393, 528562726, 528562727, 528562722, 123061806, 528562721, 528562713, 122779995, 7955595933, 3264153695, 7956534792, 123157475, 4709073648]",2,A41,"Los Angeles, CA",Bluff,Rd,90640,90640,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,399532989,tertiary,"LINESTRING (-118.11168 33.9918751, -118.1118475 33.9916446)",image;survey;usgs_imagery,AM909_DSCP3484,,Bluff Road,,,,,,,,"[123157477, 4022660065]",3,A41,"Los Angeles, CA",Bluff,Rd,90640,90640,2,1,left|,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,399532990,tertiary,"LINESTRING (-118.1116122 33.9919679, -118.11168 33.9918751)",image;survey;usgs_imagery,AM909_DSCP3484,,Bluff Road,,,,,,,,"[4022603485, 123157477]",,A41,"Los Angeles, CA",Bluff,Rd,90640,90640,1,3,,left|left;through|,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,399532991,tertiary,"LINESTRING (-118.1111836 33.9924833, -118.1113501 33.9922809)",image;survey;usgs_imagery,AM909_DSCP3484,,Bluff Road,,,,,,,,"[4022660069, 4022660067]",2,A41,"Los Angeles, CA",Bluff,Rd,90640,90640,,,,,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,399532992,tertiary,"LINESTRING (-118.1113501 33.9922809, -118.1113916 33.9922265, -118.1116122 33.9919679)",image;survey;usgs_imagery,AM909_DSCP3484,,Bluff Road,,,,,,,,"[4022660067, 7955595932, 4022603485]",,A41,"Los Angeles, CA",Bluff,Rd,90640,90640,1,3,,left|left;through|right,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
