element_type,osmid,name,address,geometry,building:levels,store_location,city_location
relation,6682169,Walmart Supercenter,"8500 Washington Blvd, Pico Rivera","POLYGON ((-118.1050108 33.9856076, -118.1050019 33.9856028, -118.1049849 33.9856244, -118.1049359 33.9855977, -118.104912 33.9856282, -118.1048615 33.9856007, -118.1048733 33.9855856, -118.1048108 33.9855515, -118.104798 33.9855678, -118.104747 33.9855401, -118.1047886 33.9854871, -118.1047267 33.9854535, -118.1046999 33.9854877, -118.1046553 33.9854634, -118.1046575 33.9854606, -118.1045798 33.9854183, -118.104591 33.9854041, -118.1045021 33.9853556, -118.1044899 33.9853712, -118.1044472 33.985348, -118.1044495 33.9853451, -118.1044158 33.9853267, -118.1044123 33.9853311, -118.1043666 33.9853061, -118.1043928 33.9852727, -118.1043304 33.9852387, -118.1042893 33.985291, -118.1042396 33.9852639, -118.1042532 33.9852466, -118.1041907 33.9852125, -118.1041762 33.985231, -118.1041236 33.9852024, -118.104149 33.9851699, -118.1040677 33.9851257, -118.1040842 33.9851047, -118.1040477 33.9850848, -118.1041385 33.9849691, -118.1039497 33.9848663, -118.104491 33.9841764, -118.1043034 33.9840742, -118.1043692 33.9839904, -118.1050431 33.9843574, -118.1050108 33.9843985, -118.1061241 33.9850047, -118.1061487 33.9849734, -118.1062839 33.985047, -118.1062962 33.9850748, -118.1061197 33.9851291, -118.1060651 33.9851007, -118.1060093 33.9851752, -118.1061375 33.9852419, -118.1058856 33.9855669, -118.1057551 33.9854968, -118.1057273 33.9855327, -118.1059407 33.9856474, -118.1058232 33.9857996, -118.1058177 33.9857966, -118.1057922 33.9858296, -118.1057936 33.9858304, -118.1057774 33.985851, -118.1057843 33.9858547, -118.1057782 33.9858624, -118.1057718 33.985859, -118.1057562 33.9858788, -118.1057632 33.9858827, -118.1057573 33.9858902, -118.1057503 33.9858864, -118.1057346 33.9859062, -118.1057413 33.9859099, -118.1057351 33.9859179, -118.1057286 33.9859143, -118.105713 33.9859341, -118.1057197 33.9859378, -118.1057139 33.9859453, -118.1057065 33.9859412, -118.105667 33.9859913, -118.1054576 33.9858768, -118.1055645 33.9857412, -118.1051014 33.9854921, -118.1050108 33.9856076), (-118.1044238 33.9852879, -118.1044087 33.9852801, -118.1043924 33.9853021, -118.1044075 33.9853099, -118.1044238 33.9852879))",,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera","Los Angeles, California"
relation,7326273,Walmart,"8333 Van Nuys Blvd, Panorama City","POLYGON ((-118.450057 34.2223448, -118.4501609 34.2223447, -118.4501675 34.2223447, -118.4501675 34.2223578, -118.4502151 34.2223578, -118.4502151 34.2224226, -118.4501675 34.2224226, -118.450167 34.2226052, -118.450167 34.222762, -118.4501675 34.2230052, -118.4500905 34.2230052, -118.4500147 34.2230052, -118.4500147 34.2229464, -118.4499661 34.2229465, -118.4491218 34.2229475, -118.449072 34.2229475, -118.449072 34.2223468, -118.449176 34.2223468, -118.4496962 34.2223465, -118.4499767 34.2223448, -118.450057 34.2223448))",,"Walmart, 8333 Van Nuys Blvd, Panorama City","Los Angeles, California"
way,27207973,Walmart Supercenter,"7250 Carson Blvd, Long Beach","POLYGON ((-118.0910284 33.8287892, -118.0910374 33.8287883, -118.09106 33.8289455, -118.0910544 33.828946, -118.0912345 33.8302019, -118.0911098 33.8302143, -118.091104 33.8301742, -118.0909374 33.8301909, -118.09091 33.8299994, -118.0904527 33.830045, -118.0904418 33.8299691, -118.0904085 33.8299725, -118.0904011 33.8299207, -118.0901878 33.829942, -118.0901303 33.8295415, -118.0901258 33.8295419, -118.0900876 33.8292754, -118.0900938 33.8292748, -118.0900134 33.8287141, -118.0901255 33.8285708, -118.0905104 33.8285323, -118.0905365 33.8287147, -118.091011 33.8286673, -118.0910284 33.8287892))",,"Walmart Supercenter, 7250 Carson Blvd, Long Beach","Los Angeles, California"
way,51210330,Walmart Supercenter,"19821 Rinaldi St, Porter Ranch","POLYGON ((-118.5677165 34.2777311, -118.567712 34.2777311, -118.5677121 34.2777512, -118.5677155 34.2777514, -118.567718 34.2781108, -118.5672123 34.2781107, -118.5672124 34.2782, -118.5670237 34.2782001, -118.5670236 34.2781128, -118.566347 34.2781132, -118.5663506 34.2778718, -118.5663522 34.2777654, -118.5663531 34.2777152, -118.5660645 34.2777166, -118.5660199 34.2777168, -118.5660183 34.2771875, -118.5664724 34.2771846, -118.5664722 34.2772686, -118.5666099 34.2772713, -118.5666098 34.2772247, -118.56673 34.2772246, -118.56673 34.277232, -118.5668902 34.2772308, -118.5668895 34.2772697, -118.5670648 34.2772691, -118.5670637 34.2772324, -118.5673477 34.2772299, -118.5673477 34.2772137, -118.5673947 34.2772137, -118.5673947 34.2772026, -118.5676064 34.2772025, -118.5676064 34.2772142, -118.5676516 34.2772141, -118.5676516 34.2772297, -118.567699 34.2772297, -118.5676991 34.2772663, -118.567715 34.2772663, -118.5677161 34.2773088, -118.5677165 34.2777311))",,"Walmart Supercenter, 19821 Rinaldi St, Porter Ranch","Los Angeles, California"
way,51227854,Target,"8840 Corbin Ave, Northridge","POLYGON ((-118.559586 34.2305501, -118.5607408 34.2305449, -118.560741 34.2305737, -118.5607645 34.2305736, -118.5607665 34.2308738, -118.5607407 34.230874, -118.5607426 34.2311634, -118.5607612 34.2311634, -118.5607628 34.2314098, -118.5606936 34.2314101, -118.5606941 34.2314802, -118.5606303 34.2315048, -118.559937 34.2315044, -118.559937 34.2314546, -118.5597342 34.2314545, -118.5597342 34.2314312, -118.5595535 34.2314311, -118.5595535 34.2313484, -118.5596336 34.2313484, -118.5596342 34.2306429, -118.559586 34.2306428, -118.559586 34.2305501))",,"Target, 8840 Corbin Ave, Northridge","Los Angeles, California"
way,51227855,Kohl's,"8800 Corbin Ave, Northridge","POLYGON ((-118.5596187 34.2305239, -118.5596187 34.2303066, -118.5597518 34.2303066, -118.5597518 34.2297887, -118.5601001 34.2297886, -118.5601002 34.2298434, -118.5606933 34.2298433, -118.5606934 34.2305238, -118.5596187 34.2305239))",,"Kohl's, 8800 Corbin Ave, Northridge","Los Angeles, California"
way,58521813,Target,"11051 Victory Blvd, North Hollywood","POLYGON ((-118.371828 34.1889463, -118.3718431 34.1883822, -118.371901 34.1883868, -118.3718931 34.1881383, -118.3710271 34.1881383, -118.3710266 34.1881919, -118.3705869 34.1881941, -118.3705885 34.1884283, -118.3706802 34.1884251, -118.3706778 34.1891833, -118.3712851 34.1891818, -118.3712858 34.18908, -118.3714847 34.1890883, -118.3714847 34.1891371, -118.3715971 34.1891403, -118.3716054 34.1892011, -118.3719969 34.1892009, -118.3719836 34.1889463, -118.371828 34.1889463))",,"Target, 11051 Victory Blvd, North Hollywood","Los Angeles, California"
way,80216858,Kohl's,"1201 S Fremont Ave, Alhambra","POLYGON ((-118.153043 34.0797882, -118.1530493 34.0797882, -118.1530491 34.0797647, -118.1530538 34.0797647, -118.1530535 34.0797396, -118.1530568 34.0797396, -118.1530565 34.0797154, -118.1530658 34.0797153, -118.1530654 34.0796796, -118.1530537 34.0796797, -118.1530521 34.079535, -118.1531516 34.0795342, -118.1531517 34.079542, -118.1532726 34.079541, -118.153271 34.0794055, -118.1532637 34.0794056, -118.1532633 34.0793669, -118.1533123 34.0793665, -118.1533127 34.0794008, -118.1535075 34.0793992, -118.1535071 34.0793658, -118.1535464 34.0793655, -118.1535468 34.0793981, -118.1536676 34.0793972, -118.1536766 34.0801806, -118.1532171 34.0801843, -118.1532172 34.0801957, -118.153058 34.080197, -118.1530563 34.0800508, -118.1530688 34.0800507, -118.1530683 34.0800106, -118.1530601 34.0800107, -118.1530598 34.0799864, -118.1530556 34.0799864, -118.1530553 34.079963, -118.1530512 34.079963, -118.1530509 34.0799377, -118.1530443 34.0799378, -118.153044 34.0799092, -118.1530376 34.0799145, -118.1530304 34.0799015, -118.1530245 34.0798811, -118.1530232 34.0798696, -118.1530233 34.0798591, -118.1530251 34.0798396, -118.15303 34.0798235, -118.1530373 34.0798111, -118.1530433 34.0798163, -118.153043 34.0797882))",,"Kohl's, 1201 S Fremont Ave, Alhambra","Los Angeles, California"
way,89333976,Target,"5500 W Sunset Blvd, Los Angeles","POLYGON ((-118.3094382 34.0978873, -118.3094627 34.0978639, -118.3094934 34.0978416, -118.3095278 34.0978227, -118.3095497 34.0978491, -118.3095777 34.0978712, -118.3096104 34.0978882, -118.3096467 34.0978993, -118.3096849 34.0979041, -118.3097235 34.0979024, -118.3097609 34.0978942, -118.3097955 34.0978799, -118.3098258 34.09786, -118.3098507 34.0978355, -118.3098977 34.0978693, -118.3099354 34.0979147, -118.3108246 34.0979079, -118.3108767 34.0978671, -118.310873 34.0975402, -118.3108675 34.0970442, -118.3107667 34.097045, -118.3107655 34.0969342, -118.3099531 34.0969404, -118.3095016 34.0969438, -118.3094384 34.0969933, -118.309448 34.0978573, -118.3094268 34.0978789, -118.3094382 34.0978873))",,"Target, 5500 W Sunset Blvd, Los Angeles","Los Angeles, California"
way,107752264,JCPenney,"20700 Avalon Blvd, Carson","POLYGON ((-118.2609907 33.8442016, -118.2600707 33.8446271, -118.2596094 33.84399, -118.2598052 33.8438986, -118.2598834 33.843997, -118.2604328 33.8437405, -118.2608683 33.8435514, -118.2609532 33.8435177, -118.2613019 33.8440546, -118.2609907 33.8442016))",,"JCPenney, 20700 Avalon Blvd, Carson","Los Angeles, California"
