neighborhoods,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera","Walmart, 8333 Van Nuys Blvd, Panorama City","Walmart Supercenter, 7250 Carson Blvd, Long Beach","Walmart Supercenter, 19821 Rinaldi St, Porter Ranch","Target, 8840 Corbin Ave, Northridge","Kohl's, 8800 Corbin Ave, Northridge","Target, 11051 Victory Blvd, North Hollywood","Kohl's, 1201 S Fremont Ave, Alhambra","Target, 5500 W Sunset Blvd, Los Angeles","JCPenney, 20700 Avalon Blvd, Carson","Target, 20700 Avalon Blvd Suite 700, Carson","Target, 3535 S La Cienega Blvd, Los Angeles","Target, 1601 Kingsdale Ave, Redondo Beach","Target, 3471 W Century Blvd, Inglewood","Kohl's, 25375 Crenshaw Blvd, Torrance","Kohl's, 504 Huntington Dr, Monrovia","Walmart, 19503 S Normandie Ave, Torrance","Target, 6635 Fallbrook Ave, West Hills","Walmart Supercenter, 3705 E South St, Long Beach","Walmart Supercenter, 2770 E Carson St, Lakewood","Kohl's, 1799 Hawthorne Blvd, Redondo Beach","Walmart Neighborhood Market, 14441 S Inglewood Ave, Hawthorne","Marshalls, 14401 S Inglewood Ave, Hawthorne","Marshalls, 3420 W Century Blvd, Inglewood","Walmart, 2100 N Long Beach Blvd, Compton","JCPenney, 6420 Pacific Blvd, Huntington Park","Walmart Supercenter, 4651 Firestone Blvd, South Gate","Kohl's, 300 Stonewood St, Downey","JCPenney, 332 Stonewood St, Downey","Walmart Supercenter, 14501 Lakewood Blvd, Paramount","Target, 1800 Empire Ave, Burbank","Walmart Supercenter, 1301 N Victory Pl, Burbank","Walmart Supercenter, 26471 Carl Boyer Dr, Santa Clarita","Kohl's, 24200 Valencia Blvd, Valencia","JCPenney, 9301 Tampa Ave, Northridge","Walmart Supercenter, 9001 Apollo Way, Downey","Target, 3433 Sepulveda Blvd, Torrance","Kohl's, 872 New Los Angeles Ave, Moorpark"
Glendale,30.3,24.2,48.7,36.6,40.2,40.2,13.7,18.5,10.0,42.4,38.6,28.3,42.5,33.1,47.5,25.0,36.1,38.7,46.9,48.9,42.3,40.1,36.9,32.8,40.4,24.0,33.9,33.4,35.2,40.6,10.6,9.6,44.7,46.6,39.3,43.1,49.0,66.2
Van Nuys,43.5,4.0,76.0,21.3,14.8,14.8,7.8,39.7,18.7,53.2,52.6,29.5,43.3,38.3,53.2,46.2,47.7,23.4,57.9,65.2,43.4,40.4,40.4,38.2,51.4,37.3,44.9,46.9,46.8,51.7,12.1,13.2,31.3,33.3,15.3,57.5,50.9,50.9
Elysian Park,21.9,32.4,38.3,54.7,48.3,48.4,21.9,11.1,12.0,32.6,31.9,18.5,35.8,23.3,40.8,31.0,29.4,46.9,38.8,38.4,35.6,30.2,30.2,23.0,32.3,18.1,23.9,27.3,26.8,30.1,18.8,17.8,61.1,54.8,47.5,29.9,37.0,84.2
Terminal Island,34.6,69.0,31.2,81.9,75.2,75.1,63.9,43.4,49.3,18.5,20.2,41.0,25.2,33.0,14.8,65.3,19.4,77.7,24.8,20.4,25.0,28.1,28.1,32.6,24.9,36.8,29.6,30.3,29.6,25.7,63.0,62.0,95.4,97.8,76.7,29.3,17.8,113.0
Arleta,47.7,4.2,64.0,16.2,14.2,14.4,11.7,39.0,22.2,60.1,59.4,36.7,50.5,45.6,60.4,45.5,54.9,32.5,62.2,64.2,50.6,47.6,47.6,45.4,55.6,41.4,49.2,51.1,51.0,55.9,13.4,14.0,23.4,26.1,13.9,58.1,58.1,45.3
Hermon,26.0,35.9,42.3,55.2,51.6,51.7,25.2,7.0,16.0,36.6,35.9,22.6,39.8,27.3,44.9,22.0,33.4,50.0,38.4,39.2,39.6,34.3,34.3,27.0,31.8,17.3,27.5,27.0,26.9,34.3,22.1,21.1,61.6,66.5,50.8,34.0,41.1,84.8
Pacoima,56.2,8.5,72.5,17.1,20.6,20.7,12.7,39.0,28.1,68.6,67.9,42.2,55.9,51.0,65.8,44.7,60.3,31.8,70.7,72.7,56.1,53.1,53.0,50.9,64.1,49.9,57.7,59.6,59.5,64.4,19.3,19.9,25.0,26.9,19.7,66.9,63.5,46.6
Toluca Lake,39.7,15.3,56.1,30.1,35.1,35.2,5.8,27.3,9.9,49.8,49.1,18.7,48.4,28.9,58.2,35.1,46.6,28.8,54.3,53.8,48.5,45.5,45.5,28.6,45.3,31.1,41.2,40.7,39.5,48.0,7.4,7.4,38.2,40.0,34.2,47.7,55.9,59.6
Harbor Gateway,30.0,53.3,31.0,66.2,59.4,59.3,50.2,38.8,35.7,4.9,6.1,25.2,9.4,19.9,7.9,58.5,2.2,61.9,20.1,20.1,9.2,12.4,12.3,19.8,19.8,23.1,24.7,25.7,25.2,21.1,47.7,46.7,76.2,81.1,60.9,24.8,5.8,96.9
Highland Park,27.4,34.5,43.7,54.1,57.7,57.7,23.4,6.9,17.5,38.1,37.4,23.9,41.3,28.8,46.2,20.2,34.9,48.4,38.7,43.9,41.1,35.7,35.6,28.5,32.2,18.7,28.9,30.8,28.3,35.6,20.3,19.3,59.9,65.4,56.8,38.1,42.5,83.7
Lake Balboa,53.8,7.1,77.0,20.0,9.4,9.4,13.7,43.8,25.4,54.2,53.5,30.5,44.3,39.3,54.1,60.6,48.6,13.2,68.3,66.2,44.4,41.4,41.3,39.2,53.6,47.5,55.2,59.5,57.0,64.4,27.3,27.8,30.0,31.9,9.8,66.9,51.8,49.6
Central City East,16.8,31.7,33.2,46.8,50.4,52.7,25.8,12.1,11.3,27.6,26.9,14.6,32.1,18.3,35.8,30.8,24.4,45.9,31.3,33.3,31.9,29.7,29.7,18.0,17.2,9.3,18.3,20.2,20.2,25.0,21.7,20.7,54.8,56.5,49.5,27.5,32.0,76.1
Cypress Park,22.5,32.2,38.9,53.1,48.1,48.1,21.6,9.9,12.4,33.0,32.3,18.9,36.2,23.7,41.2,29.4,29.8,46.7,37.1,39.1,36.0,30.7,30.6,23.4,30.5,13.9,24.0,23.5,23.5,30.8,18.5,17.5,59.4,54.5,55.7,33.3,37.4,82.6
Del Rey,41.8,31.2,52.1,44.1,37.3,37.3,35.2,37.0,24.1,29.3,28.6,8.2,18.9,13.9,28.7,66.0,23.3,45.5,41.9,41.3,19.0,16.0,15.9,13.9,28.7,31.8,36.5,37.5,37.0,35.3,51.4,51.9,54.1,56.0,38.9,36.7,26.4,77.2
Crenshaw,36.0,33.9,42.2,49.7,42.9,42.8,26.2,24.2,10.6,30.3,29.6,3.5,20.3,9.7,30.2,40.5,24.7,45.4,37.1,42.2,20.4,17.4,17.4,9.4,23.9,15.0,26.8,38.5,38.0,29.4,31.8,30.9,74.8,59.8,44.4,31.9,27.9,80.4
Los Feliz,26.9,27.1,43.3,39.5,43.1,43.1,16.6,16.9,3.2,35.6,35.0,16.0,38.8,22.5,43.9,32.0,32.5,41.6,41.4,43.4,38.6,33.3,33.3,22.2,34.9,20.7,28.4,32.3,28.4,35.1,13.5,12.5,47.6,49.5,42.2,37.6,40.1,69.1
University Hills,17.1,39.5,33.2,62.4,55.4,66.0,29.0,3.9,17.3,34.1,37.3,27.2,43.2,37.7,48.3,24.8,37.5,54.0,31.4,33.4,43.0,46.2,46.1,37.4,24.9,16.1,18.4,21.7,21.8,25.2,25.8,24.9,68.7,73.7,65.1,27.7,44.9,91.9
Crestview,29.3,32.1,60.6,45.0,38.2,38.1,23.6,27.9,12.1,31.4,30.8,3.5,21.5,16.5,31.4,44.2,25.9,40.7,45.4,49.7,21.6,18.6,18.6,16.4,32.1,21.7,31.4,35.3,34.8,37.7,35.5,34.5,55.0,56.9,38.9,40.1,29.1,78.1
West Hills,67.9,21.7,94.7,17.7,11.1,11.1,42.2,59.2,52.9,69.0,68.3,45.3,59.1,54.1,68.9,77.4,63.5,2.4,82.4,84.4,59.2,56.2,56.2,54.0,68.4,61.6,69.3,71.3,71.2,75.0,44.1,44.6,47.0,42.8,12.3,78.3,66.6,34.2
University Park,30.1,34.1,38.7,51.3,54.8,54.9,27.9,18.4,13.4,24.5,23.8,10.8,27.7,15.2,32.8,34.0,21.3,49.2,33.7,37.2,27.5,22.2,22.1,14.9,20.4,9.8,21.0,23.8,23.7,25.9,25.4,24.4,68.3,61.3,54.0,28.4,29.0,78.4
Palms,31.5,28.4,54.3,41.4,34.6,34.5,32.5,30.0,17.1,31.5,30.8,4.2,21.5,16.6,31.4,46.3,25.9,42.8,43.8,43.4,20.7,17.7,17.7,16.5,30.9,23.8,38.7,39.7,39.2,36.4,37.7,36.7,51.3,53.2,36.1,38.8,29.1,72.1
Westlake,21.7,28.7,42.2,43.5,47.1,47.1,22.5,14.6,8.0,28.0,27.4,12.4,31.2,18.8,36.3,32.4,24.9,42.6,36.2,39.2,31.0,34.2,34.1,18.4,24.0,11.8,23.1,25.1,25.0,29.9,19.5,18.5,62.4,53.5,46.2,32.4,32.5,73.1
Southeast Los Angeles,17.1,30.4,33.4,60.2,50.2,50.2,23.7,10.0,9.4,29.4,29.1,15.8,33.4,20.9,37.7,29.3,26.2,44.0,31.2,33.2,32.8,27.9,27.5,20.6,25.5,11.0,18.7,20.5,20.1,25.3,20.6,19.6,63.2,68.1,49.3,24.7,34.3,74.4
Echo Park,20.8,30.6,37.2,53.5,46.6,46.6,20.1,15.0,7.1,31.4,30.7,14.8,34.2,22.1,39.2,29.9,27.8,45.1,35.3,37.3,34.0,29.1,29.0,21.4,28.8,14.7,22.7,24.2,24.2,29.0,17.0,16.0,59.9,64.8,45.7,31.5,35.4,72.6
Harbor City,35.3,61.0,35.6,73.9,67.2,67.1,55.9,44.1,41.3,10.5,8.8,33.0,17.2,25.0,3.9,64.2,7.6,69.7,25.4,18.4,17.0,20.1,20.1,24.6,22.2,28.8,30.4,31.1,30.5,26.5,53.3,52.3,83.9,88.9,68.7,30.2,7.4,105.0
Jefferson Park,23.1,29.8,43.0,44.6,43.1,43.0,23.7,21.1,8.1,27.1,26.4,6.7,24.2,11.9,35.4,37.3,25.6,45.6,36.3,40.5,24.3,21.8,21.8,11.6,24.7,14.9,23.7,28.5,28.0,30.2,28.7,27.8,52.3,55.6,44.6,32.7,31.6,79.4
Reseda,56.4,10.3,80.2,11.5,5.8,5.8,16.9,47.7,28.0,57.4,56.7,33.7,47.5,42.5,57.3,63.8,51.9,9.6,68.4,69.4,47.6,44.6,44.6,42.4,56.8,50.2,60.3,59.9,59.8,64.6,30.5,31.1,33.2,35.1,6.2,64.8,55.0,41.1
Eagle Rock,29.2,28.6,45.5,46.5,50.1,50.1,18.6,11.9,14.6,41.6,40.9,25.8,44.8,30.5,48.1,19.8,38.4,42.5,43.7,45.6,44.6,38.7,38.7,30.2,37.1,22.9,30.6,34.5,34.0,37.4,14.4,13.4,52.8,50.4,49.1,39.6,46.1,76.0
