neighborhoods,"Walmart Supercenter, 8500 Washington Blvd, Pico Rivera","Walmart, 8333 Van Nuys Blvd, Panorama City","Walmart Supercenter, 7250 Carson Blvd, Long Beach","Walmart Supercenter, 19821 Rinaldi St, Porter Ranch","Target, 8840 Corbin Ave, Northridge","Kohl's, 8800 Corbin Ave, Northridge","Target, 11051 Victory Blvd, North Hollywood","Kohl's, 1201 S Fremont Ave, Alhambra","Target, 5500 W Sunset Blvd, Los Angeles","JCPenney, 20700 Avalon Blvd, Carson","Target, 20700 Avalon Blvd Suite 700, Carson","Target, 3535 S La Cienega Blvd, Los Angeles","Target, 1601 Kingsdale Ave, Redondo Beach","Target, 3471 W Century Blvd, Inglewood","Kohl's, 25375 Crenshaw Blvd, Torrance","Kohl's, 504 Huntington Dr, Monrovia","Walmart, 19503 S Normandie Ave, Torrance","Target, 6635 Fallbrook Ave, West Hills","Walmart Supercenter, 3705 E South St, Long Beach","Walmart Supercenter, 2770 E Carson St, Lakewood","Kohl's, 1799 Hawthorne Blvd, Redondo Beach","Walmart Neighborhood Market, 14441 S Inglewood Ave, Hawthorne","Marshalls, 14401 S Inglewood Ave, Hawthorne","Marshalls, 3420 W Century Blvd, Inglewood","Walmart, 2100 N Long Beach Blvd, Compton","JCPenney, 6420 Pacific Blvd, Huntington Park","Walmart Supercenter, 4651 Firestone Blvd, South Gate","Kohl's, 300 Stonewood St, Downey","JCPenney, 332 Stonewood St, Downey","Walmart Supercenter, 14501 Lakewood Blvd, Paramount","Target, 1800 Empire Ave, Burbank","Walmart Supercenter, 1301 N Victory Pl, Burbank","Walmart Supercenter, 26471 Carl Boyer Dr, Santa Clarita","Kohl's, 24200 Valencia Blvd, Valencia","JCPenney, 9301 Tampa Ave, Northridge","Walmart Supercenter, 9001 Apollo Way, Downey","Target, 3433 Sepulveda Blvd, Torrance","Kohl's, 872 New Los Angeles Ave, Moorpark"
Highland Park,30,29,35,35,39,40,24,13,22,30,29,23,35,42,39,18,29,39,31,34,33,31,31,31,34,25,29,29,27,29,19,19,42,41,40,29,39,52
Playa Vista,40,31,37,35,40,38,38,36,36,23,22,16,20,20,29,51,18,57,31,31,18,18,18,19,24,32,30,33,32,28,40,40,44,43,39,29,25,72
University Hills,21,37,30,40,46,51,31,11,22,29,28,28,35,35,40,30,29,46,26,29,34,34,34,34,23,25,18,27,26,24,26,25,52,50,50,24,39,56
North Hills,47,10,53,12,12,13,19,41,23,39,39,27,36,36,45,37,35,29,52,47,34,32,32,36,40,46,45,49,48,45,18,18,22,21,12,50,42,29
Mar Vista,37,27,40,31,35,35,34,33,33,26,25,18,23,23,32,48,21,54,34,34,21,19,19,22,27,35,33,36,35,31,36,38,41,39,36,32,28,68
Valley Glen,43,13,48,17,28,28,8,30,13,43,42,37,39,39,48,28,42,30,44,49,37,35,35,38,41,37,36,41,39,41,15,17,26,24,23,42,44,34
Pacoima,50,17,58,15,21,22,19,36,22,49,49,34,43,43,59,32,41,32,51,54,41,39,39,43,48,45,43,54,53,49,17,18,23,22,21,49,48,32
Mid City,32,39,36,41,38,38,32,23,19,26,26,13,30,29,36,37,25,37,33,35,30,26,26,28,26,25,36,33,33,30,38,29,44,42,47,30,37,58
Sun Valley,44,13,48,16,22,23,12,38,19,43,43,37,44,44,53,29,42,34,45,47,42,40,39,43,42,38,37,48,40,42,10,10,24,22,21,42,59,32
Mission Hills,48,11,52,9,15,16,16,38,19,39,39,28,37,37,46,34,35,26,53,48,35,33,33,36,46,43,41,53,49,47,14,15,19,17,14,47,42,26
Venice,46,36,44,40,62,61,43,46,42,30,30,24,31,28,37,61,30,55,38,38,30,23,27,27,31,39,37,40,39,36,45,46,50,50,63,36,37,69
Glendale,37,25,42,28,34,35,19,28,17,36,36,30,41,37,46,24,35,34,38,40,39,37,37,37,35,31,31,34,33,35,14,14,36,35,33,35,45,45
Winnetka,56,25,60,15,9,9,36,53,30,46,46,35,43,44,53,45,42,15,54,54,42,40,39,43,47,55,53,60,59,52,32,33,37,36,11,52,49,33
Reseda,55,19,58,18,11,10,29,45,27,44,44,33,42,42,51,47,40,18,53,53,40,38,37,41,46,52,53,58,53,50,28,28,38,31,12,50,47,36
Mount Washington,33,32,37,36,42,42,27,19,22,32,32,26,37,34,42,26,31,42,33,36,35,34,33,34,30,27,26,30,29,31,22,22,45,44,41,31,41,52
Encino,51,20,54,28,21,20,26,43,23,40,39,28,37,37,46,39,35,19,48,48,35,33,33,37,41,48,49,54,49,45,30,30,33,31,23,46,43,36
Tarzana,54,23,57,26,19,18,29,46,26,43,42,31,40,40,49,42,38,18,51,51,38,36,36,39,44,51,52,57,52,48,33,33,36,34,21,49,45,35
Westwood,42,23,40,27,31,30,40,33,37,29,28,17,26,26,35,43,24,29,37,37,24,22,22,25,30,35,35,39,38,41,32,44,36,34,31,35,31,43
Canoga Park,58,27,63,16,11,11,31,53,32,48,48,37,46,46,55,49,44,8,64,57,44,42,42,45,50,58,56,61,59,61,30,30,35,33,13,55,51,28
Southeast Los Angeles,24,33,28,36,42,42,27,14,12,27,24,18,29,26,34,29,23,42,24,27,27,26,25,27,21,18,16,21,23,21,22,21,44,46,38,22,33,52
