Date	State	Category	Dollars
2022-01-02	Alabama	Alcohol	"$25,108,663"
2022-01-09	Alabama	Alcohol	"$20,005,484"
2022-01-16	Alabama	Alcohol	"$21,796,492"
2022-01-23	Alabama	Alcohol	"$20,778,442"
2022-01-30	Alabama	Alcohol	"$21,538,000"
2022-02-06	Alabama	Alcohol	"$22,274,643"
2022-02-13	Alabama	Alcohol	"$24,390,892"
2022-02-20	Alabama	Alcohol	"$23,576,384"
2022-02-27	Alabama	Alcohol	"$23,560,826"
2022-03-06	Alabama	Alcohol	"$24,576,973"
2022-03-13	Alabama	Alcohol	"$22,810,889"
2022-03-20	Alabama	Alcohol	"$24,333,693"
2022-03-27	Alabama	Alcohol	"$25,096,421"
2022-04-03	Alabama	Alcohol	"$24,092,643"
2022-04-10	Alabama	Alcohol	"$24,053,336"
2022-04-17	Alabama	Alcohol	"$24,987,266"
2022-04-24	Alabama	Alcohol	"$26,413,985"
2022-05-01	Alabama	Alcohol	"$26,117,263"
2022-05-08	Alabama	Alcohol	"$26,921,154"
2022-05-15	Alabama	Alcohol	"$26,774,729"
2022-05-22	Alabama	Alcohol	"$27,222,137"
2022-05-29	Alabama	Alcohol	"$27,940,246"
2022-06-05	Alabama	Alcohol	"$27,144,267"
2022-06-12	Alabama	Alcohol	"$26,765,710"
2022-06-19	Alabama	Alcohol	"$27,777,685"
2022-06-26	Alabama	Alcohol	"$27,513,494"
2022-07-03	Alabama	Alcohol	"$30,290,684"
2022-07-10	Alabama	Alcohol	"$27,342,132"
2022-07-17	Alabama	Alcohol	"$26,281,548"
2022-07-24	Alabama	Alcohol	"$25,395,456"
2022-07-31	Alabama	Alcohol	"$26,697,531"
2022-08-07	Alabama	Alcohol	"$26,390,765"
2022-08-14	Alabama	Alcohol	"$26,115,636"
2022-08-21	Alabama	Alcohol	"$26,046,498"
2022-08-28	Alabama	Alcohol	"$25,952,513"
2022-09-04	Alabama	Alcohol	"$29,178,738"
2022-09-11	Alabama	Alcohol	"$26,907,082"
2022-09-18	Alabama	Alcohol	"$29,090,517"
2022-09-25	Alabama	Alcohol	"$27,238,667"
2022-10-02	Alabama	Alcohol	"$28,310,265"
2022-10-09	Alabama	Alcohol	"$27,489,180"
2022-10-16	Alabama	Alcohol	"$26,079,496"
2022-10-23	Alabama	Alcohol	"$25,635,755"
2022-10-30	Alabama	Alcohol	"$25,883,560"
2022-11-06	Alabama	Alcohol	"$26,198,963"
2022-11-13	Alabama	Alcohol	"$26,767,291"
2022-11-20	Alabama	Alcohol	"$25,440,091"
2022-11-27	Alabama	Alcohol	"$29,502,702"
2022-12-04	Alabama	Alcohol	"$24,797,763"
2022-12-11	Alabama	Alcohol	"$25,400,876"
2022-12-18	Alabama	Alcohol	"$26,476,956"
2022-12-25	Alabama	Alcohol	"$29,629,291"
2022-01-02	Arizona	Alcohol	"$47,188,626"
2022-01-09	Arizona	Alcohol	"$35,666,627"
2022-01-16	Arizona	Alcohol	"$38,721,422"
2022-01-23	Arizona	Alcohol	"$40,093,939"
2022-01-30	Arizona	Alcohol	"$39,947,427"
2022-02-06	Arizona	Alcohol	"$40,980,568"
2022-02-13	Arizona	Alcohol	"$48,315,536"
2022-02-20	Arizona	Alcohol	"$43,969,514"
2022-02-27	Arizona	Alcohol	"$41,714,885"
2022-03-06	Arizona	Alcohol	"$42,931,123"
2022-03-13	Arizona	Alcohol	"$44,108,290"
2022-03-20	Arizona	Alcohol	"$44,741,618"
2022-03-27	Arizona	Alcohol	"$44,135,969"
2022-04-03	Arizona	Alcohol	"$43,552,891"
2022-04-10	Arizona	Alcohol	"$44,428,622"
2022-04-17	Arizona	Alcohol	"$48,208,677"
2022-04-24	Arizona	Alcohol	"$41,950,934"
2022-05-01	Arizona	Alcohol	"$42,267,305"
2022-05-08	Arizona	Alcohol	"$45,559,091"
2022-05-15	Arizona	Alcohol	"$42,282,837"
2022-05-22	Arizona	Alcohol	"$42,085,453"
2022-05-29	Arizona	Alcohol	"$46,646,501"
2022-06-05	Arizona	Alcohol	"$41,652,116"
2022-06-12	Arizona	Alcohol	"$40,707,354"
2022-06-19	Arizona	Alcohol	"$42,846,033"
2022-06-26	Arizona	Alcohol	"$40,634,704"
2022-07-03	Arizona	Alcohol	"$45,947,261"
2022-07-10	Arizona	Alcohol	"$42,204,315"
2022-07-17	Arizona	Alcohol	"$39,503,164"
2022-07-24	Arizona	Alcohol	"$40,137,783"
2022-07-31	Arizona	Alcohol	"$40,310,658"
2022-08-07	Arizona	Alcohol	"$40,559,091"
2022-08-14	Arizona	Alcohol	"$40,247,637"
2022-08-21	Arizona	Alcohol	"$40,799,082"
2022-08-28	Arizona	Alcohol	"$41,700,046"
2022-09-04	Arizona	Alcohol	"$46,052,273"
2022-09-11	Arizona	Alcohol	"$42,719,880"
2022-09-18	Arizona	Alcohol	"$42,384,204"
2022-09-25	Arizona	Alcohol	"$43,154,395"
2022-10-02	Arizona	Alcohol	"$42,723,471"
2022-10-09	Arizona	Alcohol	"$43,433,646"
2022-10-16	Arizona	Alcohol	"$42,743,753"
2022-10-23	Arizona	Alcohol	"$43,352,172"
2022-10-30	Arizona	Alcohol	"$46,717,795"
2022-11-06	Arizona	Alcohol	"$44,048,704"
2022-11-13	Arizona	Alcohol	"$43,821,001"
2022-11-20	Arizona	Alcohol	"$47,011,896"
2022-11-27	Arizona	Alcohol	"$53,856,012"
2022-12-04	Arizona	Alcohol	"$40,413,777"
2022-12-11	Arizona	Alcohol	"$44,228,428"
2022-12-18	Arizona	Alcohol	"$46,019,766"
2022-12-25	Arizona	Alcohol	"$60,408,543"
2022-01-02	Arkansas	Alcohol	"$6,555,988"
2022-01-09	Arkansas	Alcohol	"$4,886,547"
2022-01-16	Arkansas	Alcohol	"$5,749,085"
2022-01-23	Arkansas	Alcohol	"$5,384,219"
2022-01-30	Arkansas	Alcohol	"$5,649,012"
2022-02-06	Arkansas	Alcohol	"$6,133,202"
2022-02-13	Arkansas	Alcohol	"$6,066,064"
2022-02-20	Arkansas	Alcohol	"$6,006,423"
2022-02-27	Arkansas	Alcohol	"$6,006,153"
2022-03-06	Arkansas	Alcohol	"$6,301,359"
2022-03-13	Arkansas	Alcohol	"$6,118,682"
2022-03-20	Arkansas	Alcohol	"$6,314,358"
2022-03-27	Arkansas	Alcohol	"$6,176,511"
2022-04-03	Arkansas	Alcohol	"$6,391,138"
2022-04-10	Arkansas	Alcohol	"$6,392,613"
2022-04-17	Arkansas	Alcohol	"$6,581,460"
2022-04-24	Arkansas	Alcohol	"$6,639,354"
2022-05-01	Arkansas	Alcohol	"$6,845,929"
2022-05-08	Arkansas	Alcohol	"$6,928,639"
2022-05-15	Arkansas	Alcohol	"$7,380,649"
2022-05-22	Arkansas	Alcohol	"$7,303,918"
2022-05-29	Arkansas	Alcohol	"$7,627,289"
2022-06-05	Arkansas	Alcohol	"$7,800,729"
2022-06-12	Arkansas	Alcohol	"$7,209,516"
2022-06-19	Arkansas	Alcohol	"$7,835,409"
2022-06-26	Arkansas	Alcohol	"$7,799,708"
2022-07-03	Arkansas	Alcohol	"$8,412,821"
2022-07-10	Arkansas	Alcohol	"$7,950,188"
2022-07-17	Arkansas	Alcohol	"$7,456,989"
2022-07-24	Arkansas	Alcohol	"$7,458,474"
2022-07-31	Arkansas	Alcohol	"$7,178,438"
2022-08-07	Arkansas	Alcohol	"$7,399,238"
2022-08-14	Arkansas	Alcohol	"$7,262,216"
2022-08-21	Arkansas	Alcohol	"$6,793,630"
2022-08-28	Arkansas	Alcohol	"$6,719,184"
2022-09-04	Arkansas	Alcohol	"$7,382,007"
2022-09-11	Arkansas	Alcohol	"$6,885,304"
2022-09-18	Arkansas	Alcohol	"$6,843,204"
2022-09-25	Arkansas	Alcohol	"$6,841,975"
2022-10-02	Arkansas	Alcohol	"$6,873,503"
2022-10-09	Arkansas	Alcohol	"$6,867,629"
2022-10-16	Arkansas	Alcohol	"$6,853,357"
2022-10-23	Arkansas	Alcohol	"$6,605,222"
2022-10-30	Arkansas	Alcohol	"$6,478,111"
2022-11-06	Arkansas	Alcohol	"$6,669,190"
2022-11-13	Arkansas	Alcohol	"$6,612,961"
2022-11-20	Arkansas	Alcohol	"$6,351,372"
2022-11-27	Arkansas	Alcohol	"$7,552,793"
2022-12-04	Arkansas	Alcohol	"$5,911,923"
2022-12-11	Arkansas	Alcohol	"$6,207,959"
2022-12-18	Arkansas	Alcohol	"$6,428,570"
2022-12-25	Arkansas	Alcohol	"$7,876,357"
2022-01-02	California	Alcohol	"$183,761,341"
2022-01-09	California	Alcohol	"$129,832,410"
2022-01-16	California	Alcohol	"$143,641,928"
2022-01-23	California	Alcohol	"$148,153,611"
2022-01-30	California	Alcohol	"$152,449,153"
2022-02-06	California	Alcohol	"$153,495,104"
2022-02-13	California	Alcohol	"$182,130,943"
2022-02-20	California	Alcohol	"$160,766,875"
2022-02-27	California	Alcohol	"$152,472,183"
2022-03-06	California	Alcohol	"$157,523,443"
2022-03-13	California	Alcohol	"$159,071,151"
2022-03-20	California	Alcohol	"$164,438,007"
2022-03-27	California	Alcohol	"$163,215,579"
2022-04-03	California	Alcohol	"$156,174,456"
2022-04-10	California	Alcohol	"$167,059,160"
2022-04-17	California	Alcohol	"$174,546,612"
2022-04-24	California	Alcohol	"$160,030,563"
2022-05-01	California	Alcohol	"$164,629,826"
2022-05-08	California	Alcohol	"$173,957,689"
2022-05-15	California	Alcohol	"$165,866,641"
2022-05-22	California	Alcohol	"$165,423,177"
2022-05-29	California	Alcohol	"$184,471,894"
2022-06-05	California	Alcohol	"$171,189,162"
2022-06-12	California	Alcohol	"$176,416,648"
2022-06-19	California	Alcohol	"$182,424,414"
2022-06-26	California	Alcohol	"$177,316,592"
2022-07-03	California	Alcohol	"$203,813,082"
2022-07-10	California	Alcohol	"$178,581,931"
2022-07-17	California	Alcohol	"$170,891,650"
2022-07-24	California	Alcohol	"$171,228,114"
2022-07-31	California	Alcohol	"$170,753,752"
2022-08-07	California	Alcohol	"$172,397,236"
2022-08-14	California	Alcohol	"$176,403,654"
2022-08-21	California	Alcohol	"$170,586,205"
2022-08-28	California	Alcohol	"$169,648,025"
